날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2019-07-01,69,8
2019-07-02,67,7
2019-07-03,64,7
2019-07-04,61,6
2019-07-05,55,6
2019-07-06,52,6
2019-07-07,69,7
2019-07-08,68,8
2019-07-09,65,7
2019-07-10,63,7
2019-07-11,59,6
2019-07-12,54,6
2019-07-13,56,7
2019-07-14,73,9
2019-07-15,74,8
2019-07-16,73,8
2019-07-17,70,8
2019-07-18,69,8
2019-07-19,62,7
2019-07-20,61,7
2019-07-21,79,9
2019-07-22,82,9
2019-07-23,86,9
2019-07-24,80,9
2019-07-25,73,8
2019-07-26,61,7
2019-07-27,62,7
2019-07-28,77,8
2019-07-29,77,9
2019-07-30,72,8
2019-07-31,72,8
2019-08-01,72,8
2019-08-02,63,7
2019-08-03,63,7
2019-08-04,78,9
2019-08-05,77,9
2019-08-06,76,9
2019-08-07,73,8
2019-08-08,70,7
2019-08-09,59,7
2019-08-10,59,6
2019-08-11,73,8
2019-08-12,71,8
2019-08-13,68,8
2019-08-14,61,7
2019-08-15,66,8
2019-08-16,55,7
2019-08-17,55,6
2019-08-18,62,7
2019-08-19,61,7
2019-08-20,59,7
2019-08-21,58,6
2019-08-22,51,6
2019-08-23,46,5
2019-08-24,44,5
2019-08-25,55,6
2019-08-26,54,7
2019-08-27,56,6
2019-08-28,53,6
2019-08-29,49,5
2019-08-30,41,5
2019-08-31,40,5
2019-09-01,56,6
2019-09-02,53,6
2019-09-03,53,6
2019-09-04,50,5
2019-09-05,46,5
2019-09-06,42,5
2019-09-07,45,5
2019-09-08,54,6
2019-09-09,46,5
2019-09-10,40,5
2019-09-11,33,4
2019-09-12,35,3
2019-09-13,36,3
2019-09-14,45,4
2019-09-15,59,7
2019-09-16,62,7
2019-09-17,56,6
2019-09-18,53,6
2019-09-19,49,5
2019-09-20,42,5
2019-09-21,44,5
2019-09-22,59,7
2019-09-23,55,7
2019-09-24,53,6
2019-09-25,50,6
2019-09-26,47,5
2019-09-27,41,4
2019-09-28,41,4
2019-09-29,53,5
2019-09-30,53,6
2019-10-01,52,6
2019-10-02,48,5
2019-10-03,51,5
2019-10-04,46,5
2019-10-05,45,4
2019-10-06,57,6
2019-10-07,57,6
2019-10-08,48,5
2019-10-09,57,6
2019-10-10,53,6
2019-10-11,44,5
2019-10-12,44,5
2019-10-13,56,6
2019-10-14,56,6
2019-10-15,53,6
2019-10-16,52,6
2019-10-17,50,6
2019-10-18,46,6
2019-10-19,44,5
2019-10-20,55,6
2019-10-21,55,7
2019-10-22,52,6
2019-10-23,51,5
2019-10-24,46,5
2019-10-25,38,4
2019-10-26,40,5
2019-10-27,53,7
2019-10-28,58,7
2019-10-29,53,6
2019-10-30,50,6
2019-10-31,46,5
2019-11-01,42,5
2019-11-02,45,5
2019-11-03,58,7
2019-11-04,57,7
2019-11-05,53,7
2019-11-06,52,6
2019-11-07,50,6
2019-11-08,46,6
2019-11-09,44,6
2019-11-10,59,7
2019-11-11,59,8
2019-11-12,56,7
2019-11-13,58,7
2019-11-14,54,7
2019-11-15,49,7
2019-11-16,46,6
2019-11-17,63,8
2019-11-18,63,9
2019-11-19,62,9
2019-11-20,58,9
2019-11-21,52,8
2019-11-22,44,6
2019-11-23,43,6
2019-11-24,57,7
2019-11-25,58,8
2019-11-26,56,8
2019-11-27,56,8
2019-11-28,53,8
2019-11-29,44,6
2019-11-30,46,6
2019-12-01,70,9
2019-12-02,68,10
2019-12-03,69,10
2019-12-04,65,9
2019-12-05,64,9
2019-12-06,55,9
2019-12-07,55,8
2019-12-08,73,10
2019-12-09,74,11
2019-12-10,70,9
2019-12-11,67,9
2019-12-12,62,8
2019-12-13,53,7
2019-12-14,52,7
2019-12-15,69,9
2019-12-16,72,10
2019-12-17,70,9
2019-12-18,62,9
2019-12-19,55,8
2019-12-20,46,7
2019-12-21,42,6
2019-12-22,56,8
2019-12-23,51,8
2019-12-24,36,5
2019-12-25,42,6
2019-12-26,47,7
2019-12-27,41,5
2019-12-28,39,5
2019-12-29,51,6
2019-12-30,44,5
2019-12-31,35,5
2020-01-01,45,6
2020-01-02,49,6
2020-01-03,43,5
2020-01-04,43,5
2020-01-05,53,6
2020-01-06,52,6
2020-01-07,51,6
2020-01-08,48,5
2020-01-09,44,5
2020-01-10,38,4
2020-01-11,40,4
2020-01-12,49,6
2020-01-13,49,6
2020-01-14,46,5
2020-01-15,45,5
2020-01-16,44,5
2020-01-17,38,5
2020-01-18,38,4
2020-01-19,47,6
2020-01-20,44,5
2020-01-21,38,4
2020-01-22,34,3
2020-01-23,30,3
2020-01-24,34,3
2020-01-25,36,3
2020-01-26,42,4
2020-01-27,55,6
2020-01-28,52,6
2020-01-29,50,5
2020-01-30,49,5
2020-01-31,42,5
2020-02-01,49,5
2020-02-02,59,7
2020-02-03,54,7
2020-02-04,55,7
2020-02-05,54,7
2020-02-06,52,7
2020-02-07,46,6
2020-02-08,47,6
2020-02-09,60,9
2020-02-10,60,11
2020-02-11,58,10
2020-02-12,57,9
2020-02-13,52,7
2020-02-14,51,5
2020-02-15,46,5
2020-02-16,57,6
2020-02-17,55,6
2020-02-18,51,5
2020-02-19,48,5
2020-02-20,44,5
2020-02-21,39,4
2020-02-22,43,4
2020-02-23,50,5
2020-02-24,46,5
2020-02-25,52,5
2020-02-26,51,5
2020-02-27,52,5
2020-02-28,50,5
2020-02-29,55,5
2020-03-01,72,7
2020-03-02,64,6
2020-03-03,65,6
2020-03-04,63,6
2020-03-05,61,6
2020-03-06,58,5
2020-03-07,63,5
2020-03-08,73,7
2020-03-09,70,7
2020-03-10,66,6
2020-03-11,65,6
2020-03-12,59,6
2020-03-13,53,5
2020-03-14,53,5
2020-03-15,68,7
2020-03-16,64,7
