날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2020-03-17,60,6
2020-03-18,58,6
2020-03-19,59,6
2020-03-20,52,5
2020-03-21,53,5
2020-03-22,62,6
2020-03-23,62,6
2020-03-24,57,6
2020-03-25,59,6
2020-03-26,57,7
2020-03-27,53,5
2020-03-28,54,5
2020-03-29,65,7
2020-03-30,64,6
2020-03-31,63,6
2020-04-01,65,6
2020-04-02,63,6
2020-04-03,53,5
2020-04-04,56,6
2020-04-05,68,6
2020-04-06,68,7
2020-04-07,67,7
2020-04-08,66,6
2020-04-09,61,6
2020-04-10,52,5
2020-04-11,56,5
2020-04-12,70,7
2020-04-13,65,7
2020-04-14,59,6
2020-04-15,67,6
2020-04-16,64,6
2020-04-17,56,5
2020-04-18,58,5
2020-04-19,78,7
2020-04-20,69,7
2020-04-21,69,7
2020-04-22,66,6
2020-04-23,59,5
2020-04-24,53,5
2020-04-25,55,5
2020-04-26,71,7
2020-04-27,69,7
2020-04-28,60,6
2020-04-29,52,5
2020-04-30,55,5
2020-05-01,65,6
2020-05-02,73,7
2020-05-03,89,9
2020-05-04,80,8
2020-05-05,89,9
2020-05-06,86,9
2020-05-07,74,7
2020-05-08,62,6
2020-05-09,67,7
2020-05-10,79,8
2020-05-11,78,7
2020-05-12,75,7
2020-05-13,74,7
2020-05-14,68,6
2020-05-15,59,5
2020-05-16,65,5
2020-05-17,83,8
2020-05-18,85,8
2020-05-19,75,7
2020-05-20,68,6
2020-05-21,65,6
2020-05-22,56,5
2020-05-23,60,5
2020-05-24,79,7
2020-05-25,77,7
2020-05-26,75,7
2020-05-27,70,6
2020-05-28,63,6
2020-05-29,58,5
2020-05-30,63,6
2020-05-31,85,8
2020-06-01,86,8
2020-06-02,80,7
2020-06-03,81,7
2020-06-04,79,7
2020-06-05,73,6
2020-06-06,77,7
2020-06-07,98,9
2020-06-08,95,9
2020-06-09,92,9
2020-06-10,94,9
2020-06-11,92,8
2020-06-12,76,7
2020-06-13,82,7
2020-06-14,100,9
2020-06-15,90,9
2020-06-16,84,7
2020-06-17,78,7
2020-06-18,71,6
2020-06-19,61,6
2020-06-20,63,6
2020-06-21,83,7
2020-06-22,78,7
2020-06-23,77,7
2020-06-24,75,6
2020-06-25,69,6
2020-06-26,59,5
2020-06-27,60,6
2020-06-28,76,7
2020-06-29,72,7
2020-06-30,67,6
2020-07-01,69,7
