날짜,축산,수산,농산물
2019-06-30,13,11,30
2019-07-01,16,12,34
2019-07-02,15,11,33
2019-07-03,16,12,33
2019-07-04,15,11,30
2019-07-05,12,9,25
2019-07-06,10,8,22
2019-07-07,13,11,29
2019-07-08,16,12,32
2019-07-09,17,12,32
2019-07-10,18,12,31
2019-07-11,16,11,29
2019-07-12,13,9,24
2019-07-13,11,9,29
2019-07-14,13,10,28
2019-07-15,16,12,33
2019-07-16,15,12,28
2019-07-17,16,12,28
2019-07-18,16,11,29
2019-07-19,13,9,22
2019-07-20,13,10,23
2019-07-21,13,10,25
2019-07-22,17,11,27
2019-07-23,17,11,26
2019-07-24,17,12,26
2019-07-25,16,12,25
2019-07-26,13,10,22
2019-07-27,12,9,20
2019-07-28,14,10,22
2019-07-29,15,11,25
2019-07-30,15,10,25
2019-07-31,15,12,23
2019-08-01,15,11,24
2019-08-02,12,10,20
2019-08-03,11,9,19
2019-08-04,12,10,23
2019-08-05,15,12,28
2019-08-06,17,12,30
2019-08-07,17,12,28
2019-08-08,16,12,26
2019-08-09,13,10,23
2019-08-10,11,9,22
2019-08-11,13,11,25
2019-08-12,16,13,30
2019-08-13,16,13,28
2019-08-14,13,11,26
2019-08-15,15,12,28
2019-08-16,13,11,25
2019-08-17,12,11,25
2019-08-18,13,12,29
2019-08-19,18,14,33
2019-08-20,18,15,32
2019-08-21,20,16,33
2019-08-22,18,16,30
2019-08-23,15,14,27
2019-08-24,13,14,25
2019-08-25,15,15,31
2019-08-26,20,19,35
2019-08-27,21,19,36
2019-08-28,22,19,36
2019-08-29,22,19,35
2019-08-30,17,16,30
2019-08-31,16,16,31
2019-09-01,21,20,43
2019-09-02,27,23,46
2019-09-03,29,24,46
2019-09-04,30,25,46
2019-09-05,30,24,44
2019-09-06,24,20,36
2019-09-07,23,20,34
2019-09-08,23,18,32
2019-09-09,22,18,33
2019-09-10,16,15,25
2019-09-11,12,12,20
2019-09-12,8,8,15
2019-09-13,7,8,16
2019-09-14,8,10,23
2019-09-15,11,12,29
2019-09-16,14,14,36
2019-09-17,15,14,34
2019-09-18,15,14,33
2019-09-19,14,14,30
2019-09-20,11,12,29
2019-09-21,12,12,29
2019-09-22,14,15,33
2019-09-23,16,15,35
2019-09-24,16,15,34
2019-09-25,14,15,33
2019-09-26,15,14,31
2019-09-27,13,12,28
2019-09-28,10,12,27
2019-09-29,13,14,33
2019-09-30,16,15,36
2019-10-01,16,16,36
2019-10-02,15,15,32
2019-10-03,13,15,32
2019-10-04,11,12,31
2019-10-05,10,14,31
2019-10-06,13,15,34
2019-10-07,16,18,38
2019-10-08,14,14,35
2019-10-09,15,17,39
2019-10-10,14,16,36
2019-10-11,12,14,32
2019-10-12,11,13,31
2019-10-13,12,16,37
2019-10-14,14,16,40
2019-10-15,16,16,38
2019-10-16,15,17,37
2019-10-17,14,15,35
2019-10-18,12,14,32
2019-10-19,10,13,29
2019-10-20,12,16,36
2019-10-21,15,17,40
2019-10-22,15,17,38
2019-10-23,14,17,37
2019-10-24,14,16,34
2019-10-25,11,13,29
2019-10-26,10,12,28
2019-10-27,12,15,34
2019-10-28,15,17,39
2019-10-29,15,17,38
2019-10-30,14,17,33
2019-10-31,13,16,32
2019-11-01,12,15,30
2019-11-02,10,14,29
2019-11-03,12,17,34
2019-11-04,14,18,37
2019-11-05,14,19,38
2019-11-06,15,18,36
2019-11-07,15,17,34
2019-11-08,12,16,28
2019-11-09,10,14,28
2019-11-10,12,17,34
2019-11-11,15,18,37
2019-11-12,14,18,35
2019-11-13,15,21,34
2019-11-14,13,20,30
2019-11-15,11,16,28
2019-11-16,10,14,26
2019-11-17,12,18,33
2019-11-18,15,21,34
2019-11-19,15,20,33
2019-11-20,14,20,31
2019-11-21,13,19,29
2019-11-22,11,15,26
2019-11-23,10,13,25
2019-11-24,12,16,29
2019-11-25,15,19,34
2019-11-26,15,18,33
2019-11-27,16,20,31
