날짜,축산,수산,농산물
2019-11-28,14,18,28
2019-11-29,12,14,25
2019-11-30,10,13,24
2019-12-01,13,17,32
2019-12-02,16,19,33
2019-12-03,16,19,32
2019-12-04,15,20,31
2019-12-05,14,21,29
2019-12-06,12,18,27
2019-12-07,11,14,25
2019-12-08,13,18,30
2019-12-09,15,20,34
2019-12-10,17,18,32
2019-12-11,16,19,32
2019-12-12,15,20,29
2019-12-13,12,16,27
2019-12-14,11,15,25
2019-12-15,14,17,32
2019-12-16,16,19,33
2019-12-17,16,19,32
2019-12-18,15,20,30
2019-12-19,16,18,28
2019-12-20,13,15,24
2019-12-21,12,14,23
2019-12-22,13,18,27
2019-12-23,15,18,27
2019-12-24,12,14,22
2019-12-25,14,16,25
2019-12-26,16,18,27
2019-12-27,13,16,23
2019-12-28,12,15,23
2019-12-29,15,17,28
2019-12-30,15,17,26
2019-12-31,14,12,21
2020-01-01,17,18,30
2020-01-02,20,22,34
2020-01-03,17,18,32
2020-01-04,16,19,30
2020-01-05,20,23,36
2020-01-06,24,24,40
2020-01-07,25,25,39
2020-01-08,25,25,39
2020-01-09,25,23,38
2020-01-10,21,22,32
2020-01-11,21,20,32
2020-01-12,23,24,40
2020-01-13,31,28,45
2020-01-14,34,28,46
2020-01-15,32,30,49
2020-01-16,33,28,49
2020-01-17,30,28,45
2020-01-18,29,25,43
2020-01-19,34,30,45
2020-01-20,34,30,48
2020-01-21,25,23,37
2020-01-22,19,18,29
2020-01-23,13,14,23
2020-01-24,9,11,17
2020-01-25,7,10,17
2020-01-26,9,12,23
2020-01-27,14,15,32
2020-01-28,15,16,35
2020-01-29,16,18,36
2020-01-30,16,17,35
2020-01-31,14,14,30
2020-02-01,14,16,32
2020-02-02,17,17,38
2020-02-03,18,18,37
2020-02-04,22,21,48
2020-02-05,22,23,42
2020-02-06,22,22,41
2020-02-07,18,17,35
2020-02-08,15,17,34
2020-02-09,17,20,39
2020-02-10,21,22,39
2020-02-11,22,21,38
2020-02-12,22,25,40
2020-02-13,21,27,38
2020-02-14,18,21,32
2020-02-15,15,19,31
2020-02-16,18,21,37
2020-02-17,23,22,43
2020-02-18,22,22,40
2020-02-19,22,20,40
2020-02-20,21,19,46
2020-02-21,20,18,43
2020-02-22,22,18,49
2020-02-23,27,22,75
2020-02-24,33,25,100
2020-02-25,35,26,74
2020-02-26,35,27,65
2020-02-27,35,26,63
2020-02-28,29,23,56
2020-02-29,28,24,53
2020-03-01,33,30,62
2020-03-02,35,27,59
2020-03-03,38,28,61
2020-03-04,38,31,60
2020-03-05,36,30,56
2020-03-06,29,26,48
2020-03-07,31,25,58
2020-03-08,29,28,57
2020-03-09,37,31,59
2020-03-10,38,31,61
2020-03-11,38,31,58
2020-03-12,34,30,61
2020-03-13,28,26,57
2020-03-14,27,25,56
2020-03-15,32,31,68
2020-03-16,37,33,72
2020-03-17,36,32,78
2020-03-18,37,31,72
2020-03-19,38,32,68
2020-03-20,29,28,57
2020-03-21,26,25,55
2020-03-22,29,28,67
2020-03-23,36,33,71
2020-03-24,36,31,68
2020-03-25,35,32,60
2020-03-26,33,32,59
2020-03-27,28,29,51
2020-03-28,25,27,51
2020-03-29,29,30,59
2020-03-30,32,34,62
2020-03-31,31,31,62
2020-04-01,36,34,70
2020-04-02,34,31,62
2020-04-03,28,26,51
2020-04-04,25,26,53
2020-04-05,29,30,62
2020-04-06,33,31,68
2020-04-07,33,30,65
2020-04-08,35,31,64
2020-04-09,36,32,61
2020-04-10,26,30,54
2020-04-11,26,28,51
2020-04-12,32,32,64
2020-04-13,34,33,66
2020-04-14,30,29,60
2020-04-15,29,28,58
2020-04-16,29,28,54
2020-04-17,27,31,54
2020-04-18,21,28,48
2020-04-19,29,33,63
2020-04-20,33,31,65
2020-04-21,33,32,62
2020-04-22,35,33,63
2020-04-23,33,30,68
2020-04-24,25,27,54
2020-04-25,24,25,49
2020-04-26,28,26,58
2020-04-27,32,28,62
2020-04-28,29,27,55
2020-04-29,22,22,45
2020-04-30,20,21,43
2020-05-01,20,21,43
2020-05-02,19,20,40
2020-05-03,21,23,46
2020-05-04,20,21,43
2020-05-05,24,24,49
2020-05-06,25,23,49
2020-05-07,23,22,45
2020-05-08,19,18,37
2020-05-09,19,20,39
2020-05-10,21,20,43
2020-05-11,24,21,46
2020-05-12,26,22,47
2020-05-13,25,21,44
2020-05-14,25,21,44
2020-05-15,24,20,39
2020-05-16,20,17,35
2020-05-17,22,20,40
2020-05-18,27,22,46
2020-05-19,26,21,45
2020-05-20,24,20,41
2020-05-21,23,19,39
2020-05-22,21,19,36
2020-05-23,17,16,39
2020-05-24,21,20,47
2020-05-25,24,20,46
2020-05-26,26,19,50
2020-05-27,24,20,46
2020-05-28,22,17,42
2020-05-29,18,15,37
2020-05-30,16,15,39
2020-05-31,20,18,53
2020-06-01,24,19,53
2020-06-02,26,20,54
2020-06-03,24,20,53
2020-06-04,25,18,49
2020-06-05,18,14,44
2020-06-06,17,15,42
2020-06-07,20,19,50
2020-06-08,25,17,55
2020-06-09,23,17,53
2020-06-10,24,17,52
2020-06-11,22,18,47
2020-06-12,19,15,42
2020-06-13,17,17,42
2020-06-14,20,18,51
2020-06-15,23,18,56
2020-06-16,24,18,54
2020-06-17,25,18,54
2020-06-18,24,20,55
2020-06-19,19,18,47
2020-06-20,16,15,44
2020-06-21,20,17,52
2020-06-22,25,18,58
2020-06-23,25,18,58
2020-06-24,26,21,57
2020-06-25,25,19,54
2020-06-26,21,18,45
2020-06-27,17,17,42
2020-06-28,20,20,50
2020-06-29,24,21,53
2020-06-30,25,19,50
