날짜,여성의류,남성의류
2019-12-06,78,15
2019-12-07,88,17
2019-12-08,96,19
2019-12-09,81,16
2019-12-10,78,14
2019-12-11,78,13
2019-12-12,73,12
2019-12-13,68,11
2019-12-14,79,13
2019-12-15,85,15
2019-12-16,70,12
2019-12-17,70,12
2019-12-18,63,10
2019-12-19,59,10
2019-12-20,56,9
2019-12-21,64,11
2019-12-22,70,13
2019-12-23,57,10
2019-12-24,49,8
2019-12-25,66,11
2019-12-26,56,10
2019-12-27,52,9
2019-12-28,62,10
2019-12-29,68,11
2019-12-30,55,9
2019-12-31,47,8
2020-01-01,63,11
2020-01-02,59,11
2020-01-03,57,10
2020-01-04,68,11
2020-01-05,73,12
2020-01-06,60,10
2020-01-07,61,10
2020-01-08,61,9
2020-01-09,59,9
2020-01-10,55,8
2020-01-11,62,10
2020-01-12,73,12
2020-01-13,61,10
2020-01-14,61,10
2020-01-15,61,10
2020-01-16,60,9
2020-01-17,57,9
2020-01-18,65,10
2020-01-19,70,12
2020-01-20,57,9
2020-01-21,52,8
2020-01-22,51,7
2020-01-23,45,6
2020-01-24,42,6
2020-01-25,39,6
2020-01-26,52,9
2020-01-27,66,11
2020-01-28,54,9
2020-01-29,58,9
2020-01-30,57,9
2020-01-31,51,8
2020-02-01,64,9
2020-02-02,67,11
2020-02-03,54,9
2020-02-04,56,9
2020-02-05,56,9
2020-02-06,53,8
2020-02-07,51,8
2020-02-08,64,9
2020-02-09,70,10
2020-02-10,58,9
2020-02-11,61,9
2020-02-12,65,10
2020-02-13,63,9
2020-02-14,61,8
2020-02-15,76,10
2020-02-16,78,11
2020-02-17,65,10
2020-02-18,60,9
2020-02-19,58,9
2020-02-20,55,8
2020-02-21,49,7
2020-02-22,58,8
2020-02-23,57,8
2020-02-24,45,7
2020-02-25,50,7
2020-02-26,51,7
2020-02-27,52,7
2020-02-28,52,7
2020-02-29,61,8
2020-03-01,68,10
2020-03-02,50,8
2020-03-03,55,8
2020-03-04,57,8
2020-03-05,55,8
2020-03-06,53,8
2020-03-07,68,9
2020-03-08,71,11
2020-03-09,60,10
2020-03-10,62,10
2020-03-11,59,9
2020-03-12,58,9
2020-03-13,56,8
2020-03-14,66,10
2020-03-15,71,11
2020-03-16,56,10
2020-03-17,56,9
2020-03-18,58,10
2020-03-19,56,10
2020-03-20,54,9
2020-03-21,68,11
2020-03-22,72,13
2020-03-23,59,12
2020-03-24,59,11
2020-03-25,59,11
2020-03-26,60,11
2020-03-27,56,9
2020-03-28,64,10
2020-03-29,66,12
2020-03-30,56,11
2020-03-31,57,10
2020-04-01,61,11
2020-04-02,59,11
2020-04-03,56,9
2020-04-04,67,11
2020-04-05,71,13
2020-04-06,58,11
2020-04-07,59,11
2020-04-08,61,11
2020-04-09,60,10
2020-04-10,56,9
2020-04-11,70,11
2020-04-12,75,13
2020-04-13,59,11
2020-04-14,60,10
2020-04-15,76,13
2020-04-16,58,10
2020-04-17,57,9
2020-04-18,69,11
2020-04-19,80,14
2020-04-20,59,11
2020-04-21,59,11
2020-04-22,60,11
2020-04-23,57,10
2020-04-24,54,9
2020-04-25,68,11
2020-04-26,75,14
2020-04-27,60,12
2020-04-28,60,11
2020-04-29,56,10
2020-04-30,68,11
2020-05-01,66,13
2020-05-02,70,13
2020-05-03,77,16
2020-05-04,63,14
2020-05-05,81,17
2020-05-06,68,15
2020-05-07,64,13
2020-05-08,59,11
2020-05-09,72,12
2020-05-10,72,14
2020-05-11,60,12
2020-05-12,64,12
2020-05-13,65,12
2020-05-14,63,11
2020-05-15,59,9
2020-05-16,71,11
2020-05-17,80,14
2020-05-18,69,13
2020-05-19,63,11
2020-05-20,64,10
2020-05-21,62,10
2020-05-22,58,9
2020-05-23,70,11
2020-05-24,76,13
2020-05-25,60,11
2020-05-26,62,11
2020-05-27,63,11
2020-05-28,61,10
2020-05-29,57,9
2020-05-30,71,11
2020-05-31,76,13
2020-06-01,63,12
2020-06-02,64,11
2020-06-03,65,11
2020-06-04,66,11
2020-06-05,61,10
2020-06-06,75,11
2020-06-07,80,13
2020-06-08,67,12
2020-06-09,69,12
2020-06-10,71,12
2020-06-11,67,10
2020-06-12,64,9
2020-06-13,79,11
2020-06-14,85,13
2020-06-15,67,11
2020-06-16,68,10
2020-06-17,68,10
2020-06-18,65,9
2020-06-19,59,8
2020-06-20,71,9
2020-06-21,77,11
2020-06-22,63,10
2020-06-23,63,9
2020-06-24,66,9
2020-06-25,60,8
2020-06-26,54,7
2020-06-27,66,8
2020-06-28,74,10
2020-06-29,59,8
2020-06-30,57,8
2020-07-01,58,8
