날짜,건강식품,다이어트식품
2019-06-30,50,13
2019-07-01,56,11
2019-07-02,53,11
2019-07-03,52,12
2019-07-04,47,11
2019-07-05,41,11
2019-07-06,40,9
2019-07-07,42,14
2019-07-08,49,12
2019-07-09,55,12
2019-07-10,50,11
2019-07-11,49,11
2019-07-12,43,8
2019-07-13,42,13
2019-07-14,45,11
2019-07-15,54,11
2019-07-16,50,11
2019-07-17,49,10
2019-07-18,48,10
2019-07-19,40,10
2019-07-20,44,15
2019-07-21,43,12
2019-07-22,48,11
2019-07-23,46,14
2019-07-24,46,11
2019-07-25,43,12
2019-07-26,38,9
2019-07-27,39,8
2019-07-28,39,10
2019-07-29,43,10
2019-07-30,41,9
2019-07-31,41,9
2019-08-01,43,10
2019-08-02,36,8
2019-08-03,37,8
2019-08-04,43,9
2019-08-05,45,9
2019-08-06,49,10
2019-08-07,50,11
2019-08-08,47,10
2019-08-09,41,9
2019-08-10,44,11
2019-08-11,43,11
2019-08-12,52,12
2019-08-13,50,12
2019-08-14,46,12
2019-08-15,47,10
2019-08-16,43,9
2019-08-17,45,13
2019-08-18,45,14
2019-08-19,57,14
2019-08-20,59,13
2019-08-21,59,13
2019-08-22,56,12
2019-08-23,52,10
2019-08-24,51,15
2019-08-25,52,14
2019-08-26,69,13
2019-08-27,68,12
2019-08-28,68,11
2019-08-29,61,13
2019-08-30,60,14
2019-08-31,57,11
2019-09-01,68,12
2019-09-02,75,12
2019-09-03,76,13
2019-09-04,77,13
2019-09-05,72,11
2019-09-06,59,11
2019-09-07,61,12
2019-09-08,58,14
2019-09-09,62,12
2019-09-10,53,10
2019-09-11,46,8
2019-09-12,35,6
2019-09-13,37,6
2019-09-14,55,12
2019-09-15,63,13
2019-09-16,76,16
2019-09-17,70,15
2019-09-18,65,16
2019-09-19,62,12
2019-09-20,51,11
2019-09-21,48,11
2019-09-22,55,13
2019-09-23,59,12
2019-09-24,58,12
2019-09-25,60,11
2019-09-26,56,11
2019-09-27,51,11
2019-09-28,50,10
2019-09-29,52,10
2019-09-30,61,16
2019-10-01,60,13
2019-10-02,58,12
2019-10-03,50,14
2019-10-04,50,10
2019-10-05,48,14
2019-10-06,53,11
2019-10-07,61,11
2019-10-08,50,10
2019-10-09,57,15
2019-10-10,52,13
2019-10-11,50,11
2019-10-12,49,14
2019-10-13,55,10
2019-10-14,64,10
2019-10-15,51,11
2019-10-16,56,10
2019-10-17,52,11
2019-10-18,47,10
2019-10-19,48,11
2019-10-20,51,11
2019-10-21,61,13
2019-10-22,59,11
2019-10-23,56,13
2019-10-24,56,10
2019-10-25,49,8
2019-10-26,51,9
2019-10-27,51,10
2019-10-28,58,12
2019-10-29,56,12
2019-10-30,51,12
2019-10-31,50,10
2019-11-01,50,9
2019-11-02,47,10
2019-11-03,52,10
2019-11-04,58,14
2019-11-05,63,11
2019-11-06,56,11
2019-11-07,53,10
2019-11-08,45,10
2019-11-09,46,10
2019-11-10,51,12
2019-11-11,54,13
