날짜,건강식품,다이어트식품
2019-06-30,51,17
2019-07-01,66,20
2019-07-02,61,19
2019-07-03,59,19
2019-07-04,53,17
2019-07-05,46,16
2019-07-06,40,13
2019-07-07,47,17
2019-07-08,60,19
2019-07-09,63,19
2019-07-10,58,19
2019-07-11,58,18
2019-07-12,48,14
2019-07-13,42,15
2019-07-14,49,16
2019-07-15,64,19
2019-07-16,61,18
2019-07-17,58,18
2019-07-18,56,17
2019-07-19,47,15
2019-07-20,44,15
2019-07-21,48,17
2019-07-22,60,20
2019-07-23,58,22
2019-07-24,56,18
2019-07-25,52,18
2019-07-26,45,15
2019-07-27,40,12
2019-07-28,45,15
2019-07-29,53,17
2019-07-30,52,17
2019-07-31,51,17
2019-08-01,52,17
2019-08-02,44,14
2019-08-03,39,13
2019-08-04,48,17
2019-08-05,57,19
2019-08-06,60,20
2019-08-07,61,19
2019-08-08,58,18
2019-08-09,47,15
2019-08-10,44,15
2019-08-11,50,16
2019-08-12,63,19
2019-08-13,62,19
2019-08-14,54,16
2019-08-15,51,15
2019-08-16,51,14
2019-08-17,47,13
2019-08-18,50,16
2019-08-19,68,20
2019-08-20,71,19
2019-08-21,72,19
2019-08-22,65,19
2019-08-23,62,16
2019-08-24,51,16
2019-08-25,59,19
2019-08-26,83,21
2019-08-27,83,20
2019-08-28,81,19
2019-08-29,76,21
2019-08-30,68,18
2019-08-31,60,14
2019-09-01,80,19
2019-09-02,98,21
2019-09-03,97,21
2019-09-04,96,20
2019-09-05,93,19
2019-09-06,75,16
2019-09-07,66,15
2019-09-08,70,18
2019-09-09,77,18
2019-09-10,60,15
2019-09-11,51,12
2019-09-12,43,10
2019-09-13,43,11
2019-09-14,54,15
2019-09-15,67,17
2019-09-16,92,22
2019-09-17,78,21
2019-09-18,73,21
2019-09-19,67,18
2019-09-20,55,14
2019-09-21,48,13
2019-09-22,58,17
2019-09-23,70,18
2019-09-24,68,18
2019-09-25,67,16
2019-09-26,64,16
2019-09-27,55,14
2019-09-28,46,12
2019-09-29,55,15
2019-09-30,70,20
2019-10-01,72,19
2019-10-02,63,17
2019-10-03,54,17
2019-10-04,56,15
2019-10-05,48,15
2019-10-06,58,16
2019-10-07,73,18
2019-10-08,58,15
2019-10-09,57,18
2019-10-10,62,19
2019-10-11,56,15
2019-10-12,49,15
2019-10-13,57,15
2019-10-14,70,17
2019-10-15,63,17
2019-10-16,65,17
2019-10-17,59,16
2019-10-18,51,13
2019-10-19,47,13
2019-10-20,55,15
2019-10-21,71,18
2019-10-22,67,16
2019-10-23,64,18
2019-10-24,62,15
2019-10-25,53,12
2019-10-26,47,11
2019-10-27,55,13
2019-10-28,70,17
2019-10-29,67,16
2019-10-30,61,16
2019-10-31,57,14
2019-11-01,57,13
2019-11-02,49,11
2019-11-03,59,14
2019-11-04,71,18
2019-11-05,71,16
2019-11-06,66,16
2019-11-07,61,14
2019-11-08,51,12
2019-11-09,47,10
2019-11-10,56,14
2019-11-11,68,17
2019-11-12,66,17
2019-11-13,66,17
2019-11-14,58,15
2019-11-15,51,12
2019-11-16,47,11
2019-11-17,58,17
2019-11-18,66,18
2019-11-19,66,17
2019-11-20,62,16
2019-11-21,58,15
2019-11-22,50,14
2019-11-23,45,12
2019-11-24,53,16
2019-11-25,67,18
2019-11-26,66,17
2019-11-27,65,17
2019-11-28,59,15
2019-11-29,53,12
2019-11-30,48,12
2019-12-01,63,16
2019-12-02,71,18
2019-12-03,67,16
2019-12-04,64,16
2019-12-05,62,15
2019-12-06,52,12
2019-12-07,47,10
2019-12-08,58,15
2019-12-09,69,16
2019-12-10,68,16
2019-12-11,70,16
2019-12-12,62,14
2019-12-13,53,12
2019-12-14,49,12
2019-12-15,58,14
2019-12-16,68,15
2019-12-17,71,15
2019-12-18,67,15
2019-12-19,62,14
2019-12-20,53,11
2019-12-21,45,11
2019-12-22,54,12
2019-12-23,60,14
2019-12-24,46,10
2019-12-25,49,10
2019-12-26,65,13
2019-12-27,58,13
2019-12-28,50,12
2019-12-29,60,13
2019-12-30,62,13
2019-12-31,50,12
2020-01-01,60,15
2020-01-02,71,18
2020-01-03,64,15
2020-01-04,60,17
2020-01-05,69,18
2020-01-06,78,19
2020-01-07,82,19
2020-01-08,79,18
2020-01-09,78,17
2020-01-10,66,14
2020-01-11,62,13
2020-01-12,72,15
2020-01-13,85,17
2020-01-14,87,17
2020-01-15,85,17
2020-01-16,83,15
2020-01-17,74,13
2020-01-18,66,12
2020-01-19,77,14
2020-01-20,86,14
2020-01-21,70,14
2020-01-22,59,12
2020-01-23,49,10
2020-01-24,42,9
2020-01-25,44,10
2020-01-26,52,12
2020-01-27,67,16
2020-01-28,79,18
2020-01-29,79,20
2020-01-30,70,18
2020-01-31,59,16
2020-02-01,63,15
2020-02-02,69,18
2020-02-03,73,19
2020-02-04,78,21
2020-02-05,73,20
2020-02-06,69,18
2020-02-07,61,17
2020-02-08,55,15
2020-02-09,66,19
2020-02-10,76,20
2020-02-11,76,21
2020-02-12,74,20
2020-02-13,68,19
2020-02-14,57,16
2020-02-15,51,14
2020-02-16,60,18
2020-02-17,69,22
2020-02-18,70,20
2020-02-19,66,18
2020-02-20,65,17
2020-02-21,57,15
2020-02-22,57,14
2020-02-23,71,18
2020-02-24,80,19
2020-02-25,82,22
2020-02-26,78,20
2020-02-27,74,19
2020-02-28,68,15
2020-02-29,69,17
2020-03-01,89,24
2020-03-02,100,23
2020-03-03,94,22
2020-03-04,94,22
2020-03-05,86,22
2020-03-06,75,18
2020-03-07,72,20
2020-03-08,81,22
2020-03-09,87,24
2020-03-10,84,24
2020-03-11,83,25
2020-03-12,77,24
2020-03-13,66,19
2020-03-14,60,18
2020-03-15,73,21
2020-03-16,78,24
2020-03-17,79,23
2020-03-18,75,22
2020-03-19,74,21
2020-03-20,64,18
2020-03-21,58,18
2020-03-22,67,20
2020-03-23,77,23
2020-03-24,72,22
2020-03-25,72,21
2020-03-26,71,22
2020-03-27,62,19
2020-03-28,58,17
2020-03-29,65,21
2020-03-30,72,23
2020-03-31,70,22
2020-04-01,80,24
2020-04-02,72,22
2020-04-03,67,19
2020-04-04,57,19
2020-04-05,69,24
2020-04-06,80,25
2020-04-07,76,24
2020-04-08,74,23
2020-04-09,69,24
2020-04-10,61,20
2020-04-11,59,19
2020-04-12,70,25
2020-04-13,76,26
2020-04-14,68,22
2020-04-15,65,22
2020-04-16,68,23
2020-04-17,63,22
2020-04-18,58,19
2020-04-19,71,27
2020-04-20,80,27
2020-04-21,79,25
2020-04-22,81,26
2020-04-23,75,25
2020-04-24,66,21
2020-04-25,67,20
2020-04-26,74,23
2020-04-27,86,27
2020-04-28,80,23
2020-04-29,67,19
2020-04-30,57,18
2020-05-01,65,19
2020-05-02,61,21
2020-05-03,72,23
2020-05-04,76,22
2020-05-05,77,25
2020-05-06,86,26
2020-05-07,75,23
2020-05-08,67,19
2020-05-09,57,19
2020-05-10,66,24
2020-05-11,74,27
2020-05-12,72,25
2020-05-13,70,25
2020-05-14,64,22
2020-05-15,60,21
2020-05-16,51,18
2020-05-17,60,22
2020-05-18,73,26
2020-05-19,71,25
2020-05-20,67,24
2020-05-21,64,23
2020-05-22,55,19
2020-05-23,50,17
2020-05-24,60,23
2020-05-25,70,26
2020-05-26,72,25
2020-05-27,67,23
2020-05-28,59,22
2020-05-29,53,18
2020-05-30,49,18
2020-05-31,59,22
2020-06-01,75,29
2020-06-02,71,28
2020-06-03,68,26
2020-06-04,66,24
2020-06-05,53,20
2020-06-06,47,19
2020-06-07,57,23
2020-06-08,70,25
2020-06-09,72,25
2020-06-10,67,24
2020-06-11,61,22
2020-06-12,53,19
2020-06-13,48,17
2020-06-14,55,21
2020-06-15,65,24
2020-06-16,64,24
2020-06-17,63,23
2020-06-18,59,23
2020-06-19,50,19
2020-06-20,46,17
2020-06-21,57,23
2020-06-22,69,27
2020-06-23,65,24
2020-06-24,65,24
2020-06-25,63,24
2020-06-26,58,18
2020-06-27,46,16
2020-06-28,58,20
2020-06-29,69,28
2020-06-30,68,24
