날짜,여성의류,남성의류
2019-07-01,48,7
2019-07-02,50,7
2019-07-03,49,6
2019-07-04,45,6
2019-07-05,41,5
2019-07-06,42,5
2019-07-07,51,7
2019-07-08,50,7
2019-07-09,50,6
2019-07-10,47,6
2019-07-11,44,6
2019-07-12,40,5
2019-07-13,46,5
2019-07-14,56,7
2019-07-15,54,7
2019-07-16,53,7
2019-07-17,52,6
2019-07-18,50,6
2019-07-19,44,5
2019-07-20,47,6
2019-07-21,55,7
2019-07-22,55,7
2019-07-23,55,7
2019-07-24,53,7
2019-07-25,48,6
2019-07-26,43,5
2019-07-27,43,5
2019-07-28,53,7
2019-07-29,52,7
2019-07-30,50,6
2019-07-31,49,6
2019-08-01,47,6
2019-08-02,42,5
2019-08-03,41,5
2019-08-04,50,7
2019-08-05,48,7
2019-08-06,49,6
2019-08-07,47,6
2019-08-08,44,6
2019-08-09,39,5
2019-08-10,41,5
2019-08-11,50,7
2019-08-12,49,7
2019-08-13,48,6
2019-08-14,43,6
2019-08-15,47,6
2019-08-16,42,6
2019-08-17,42,6
2019-08-18,47,7
2019-08-19,47,7
2019-08-20,48,7
2019-08-21,46,7
2019-08-22,43,6
2019-08-23,40,6
2019-08-24,45,6
2019-08-25,54,8
2019-08-26,52,8
2019-08-27,53,8
2019-08-28,53,8
2019-08-29,51,8
2019-08-30,45,7
2019-08-31,49,8
2019-09-01,62,11
2019-09-02,59,10
2019-09-03,60,11
2019-09-04,57,10
2019-09-05,55,9
2019-09-06,50,8
2019-09-07,57,10
2019-09-08,63,11
2019-09-09,54,9
2019-09-10,46,8
2019-09-11,41,7
2019-09-12,44,8
2019-09-13,43,8
2019-09-14,54,10
2019-09-15,67,13
2019-09-16,66,13
2019-09-17,63,12
2019-09-18,62,11
2019-09-19,60,12
2019-09-20,53,11
2019-09-21,61,12
2019-09-22,77,17
2019-09-23,70,16
2019-09-24,69,15
2019-09-25,64,13
2019-09-26,58,12
2019-09-27,51,10
2019-09-28,53,10
2019-09-29,63,13
2019-09-30,59,12
2019-10-01,59,12
2019-10-02,55,11
2019-10-03,61,12
2019-10-04,54,11
2019-10-05,57,12
2019-10-06,69,16
2019-10-07,68,17
2019-10-08,61,15
2019-10-09,73,18
2019-10-10,67,17
2019-10-11,55,13
2019-10-12,59,14
2019-10-13,70,17
2019-10-14,67,16
2019-10-15,67,17
2019-10-16,68,16
2019-10-17,64,15
2019-10-18,57,13
2019-10-19,57,13
2019-10-20,70,16
2019-10-21,68,16
2019-10-22,66,14
2019-10-23,64,13
2019-10-24,58,12
2019-10-25,50,10
2019-10-26,58,13
2019-10-27,74,19
2019-10-28,75,19
2019-10-29,73,17
2019-10-30,72,17
2019-10-31,63,14
2019-11-01,58,14
2019-11-02,66,15
2019-11-03,80,19
2019-11-04,74,17
2019-11-05,75,17
2019-11-06,75,17
2019-11-07,73,16
2019-11-08,70,16
2019-11-09,74,18
2019-11-10,93,23
2019-11-11,86,22
2019-11-12,85,19
2019-11-13,87,20
2019-11-14,86,21
2019-11-15,75,18
2019-11-16,78,17
2019-11-17,100,22
2019-11-18,96,22
2019-11-19,98,23
2019-11-20,93,21
2019-11-21,80,17
2019-11-22,67,13
2019-11-23,70,14
2019-11-24,87,17
2019-11-25,82,17
2019-11-26,79,15
2019-11-27,79,15
2019-11-28,74,14
2019-11-29,64,12
2019-11-30,71,14
2019-12-01,94,19
2019-12-02,87,18
2019-12-03,87,18
2019-12-04,83,15
2019-12-05,81,16
2019-12-06,72,15
2019-12-07,75,15
2019-12-08,91,18
2019-12-09,83,17
2019-12-10,79,15
2019-12-11,76,14
2019-12-12,70,13
2019-12-13,61,11
2019-12-14,66,12
2019-12-15,79,15
2019-12-16,73,14
2019-12-17,70,13
2019-12-18,64,12
2019-12-19,57,10
2019-12-20,50,9
2019-12-21,53,10
2019-12-22,64,12
2019-12-23,55,11
2019-12-24,43,8
2019-12-25,52,10
2019-12-26,52,10
2019-12-27,47,9
2019-12-28,51,9
2019-12-29,59,11
2019-12-30,51,9
2019-12-31,41,8
2020-01-01,47,9
2020-01-02,47,10
2020-01-03,44,8
2020-01-04,49,9
2020-01-05,57,11
2020-01-06,52,10
2020-01-07,53,9
2020-01-08,51,9
2020-01-09,48,8
2020-01-10,42,7
2020-01-11,45,8
2020-01-12,55,10
2020-01-13,52,10
2020-01-14,51,9
2020-01-15,50,9
2020-01-16,48,8
2020-01-17,43,7
2020-01-18,45,8
2020-01-19,54,10
2020-01-20,48,9
2020-01-21,41,7
2020-01-22,37,6
2020-01-23,33,6
2020-01-24,36,6
2020-01-25,36,7
2020-01-26,42,8
2020-01-27,52,10
2020-01-28,46,9
2020-01-29,47,9
2020-01-30,45,8
2020-01-31,39,7
2020-02-01,47,9
2020-02-02,53,10
2020-02-03,47,9
2020-02-04,47,9
2020-02-05,46,9
2020-02-06,43,9
2020-02-07,40,8
2020-02-08,47,9
2020-02-09,56,11
2020-02-10,51,11
2020-02-11,52,10
2020-02-12,51,10
2020-02-13,48,9
2020-02-14,45,8
2020-02-15,51,9
2020-02-16,59,10
2020-02-17,52,9
2020-02-18,50,9
2020-02-19,48,8
2020-02-20,44,7
2020-02-21,38,7
2020-02-22,42,7
2020-02-23,46,8
2020-02-24,39,8
2020-02-25,40,8
2020-02-26,42,8
2020-02-27,42,8
2020-02-28,39,8
2020-02-29,46,8
2020-03-01,56,11
2020-03-02,46,10
2020-03-03,47,10
2020-03-04,48,9
2020-03-05,46,9
2020-03-06,42,8
2020-03-07,49,10
2020-03-08,58,12
2020-03-09,52,11
2020-03-10,50,11
2020-03-11,49,10
2020-03-12,47,10
2020-03-13,43,9
2020-03-14,48,10
2020-03-15,57,12
2020-03-16,48,11
2020-03-17,47,10
2020-03-18,48,10
2020-03-19,45,10
2020-03-20,42,9
2020-03-21,50,10
2020-03-22,58,13
2020-03-23,52,12
2020-03-24,51,12
2020-03-25,50,11
2020-03-26,49,11
2020-03-27,43,9
2020-03-28,47,10
2020-03-29,54,12
2020-03-30,50,12
2020-03-31,50,11
2020-04-01,53,12
2020-04-02,50,11
2020-04-03,44,10
2020-04-04,50,11
2020-04-05,58,13
2020-04-06,53,13
2020-04-07,52,12
2020-04-08,51,12
2020-04-09,48,11
2020-04-10,42,9
2020-04-11,49,10
2020-04-12,58,14
2020-04-13,50,12
2020-04-14,46,11
2020-04-15,55,12
2020-04-16,48,11
2020-04-17,42,10
2020-04-18,48,11
2020-04-19,60,14
2020-04-20,50,12
2020-04-21,49,12
2020-04-22,48,11
2020-04-23,44,10
2020-04-24,40,9
2020-04-25,46,10
2020-04-26,57,13
2020-04-27,50,12
2020-04-28,46,10
2020-04-29,40,9
2020-04-30,44,10
2020-05-01,47,11
2020-05-02,50,12
2020-05-03,56,14
2020-05-04,51,13
2020-05-05,58,15
2020-05-06,54,14
2020-05-07,50,12
2020-05-08,45,10
2020-05-09,49,11
2020-05-10,55,12
2020-05-11,51,12
2020-05-12,51,12
2020-05-13,49,11
2020-05-14,46,10
2020-05-15,41,9
2020-05-16,47,9
2020-05-17,57,12
2020-05-18,55,12
2020-05-19,50,11
2020-05-20,48,10
2020-05-21,47,9
2020-05-22,41,8
2020-05-23,45,9
2020-05-24,54,11
2020-05-25,49,11
2020-05-26,48,10
2020-05-27,48,10
2020-05-28,44,9
2020-05-29,40,8
2020-05-30,46,9
2020-05-31,55,11
2020-06-01,53,12
2020-06-02,51,11
2020-06-03,50,10
2020-06-04,50,9
2020-06-05,44,8
2020-06-06,49,9
2020-06-07,59,11
2020-06-08,55,11
2020-06-09,55,11
2020-06-10,54,11
2020-06-11,50,9
2020-06-12,44,8
2020-06-13,49,9
2020-06-14,59,11
2020-06-15,53,10
2020-06-16,52,10
2020-06-17,50,9
2020-06-18,45,8
2020-06-19,40,7
2020-06-20,44,8
2020-06-21,53,9
2020-06-22,49,10
2020-06-23,48,9
2020-06-24,47,8
2020-06-25,42,7
2020-06-26,37,7
2020-06-27,41,7
2020-06-28,50,9
2020-06-29,46,9
2020-06-30,43,8
2020-07-01,44,8
