날짜,축산,수산,농산물
2019-06-30,24,14,36
2019-07-01,32,17,44
2019-07-02,30,17,42
2019-07-03,32,16,40
2019-07-04,32,15,37
2019-07-05,23,13,30
2019-07-06,17,11,25
2019-07-07,23,14,34
2019-07-08,32,18,41
2019-07-09,32,18,39
2019-07-10,33,17,40
2019-07-11,31,15,36
2019-07-12,23,12,28
2019-07-13,17,10,31
2019-07-14,22,13,33
2019-07-15,31,16,40
2019-07-16,32,16,36
2019-07-17,31,16,35
2019-07-18,30,16,34
2019-07-19,24,14,27
2019-07-20,20,13,26
2019-07-21,24,15,30
2019-07-22,30,17,35
2019-07-23,31,17,34
2019-07-24,31,19,32
2019-07-25,30,20,31
2019-07-26,23,16,26
2019-07-27,19,12,22
2019-07-28,24,13,27
2019-07-29,30,15,32
2019-07-30,29,15,31
2019-07-31,29,17,29
2019-08-01,27,15,31
2019-08-02,23,13,25
2019-08-03,18,12,22
2019-08-04,22,14,29
2019-08-05,30,16,37
2019-08-06,33,17,37
2019-08-07,32,18,35
2019-08-08,29,17,32
2019-08-09,24,13,28
2019-08-10,18,12,25
2019-08-11,23,14,31
2019-08-12,30,19,38
2019-08-13,30,19,36
2019-08-14,24,16,31
2019-08-15,24,16,31
2019-08-16,22,15,28
2019-08-17,19,13,26
2019-08-18,22,15,32
2019-08-19,33,20,41
2019-08-20,35,21,40
2019-08-21,36,22,40
2019-08-22,33,21,38
2019-08-23,26,19,33
2019-08-24,20,16,28
2019-08-25,25,19,36
2019-08-26,37,25,47
2019-08-27,39,24,45
2019-08-28,37,25,46
2019-08-29,38,24,45
2019-08-30,29,20,36
2019-08-31,25,18,34
2019-09-01,36,25,52
2019-09-02,49,32,64
2019-09-03,52,33,65
2019-09-04,51,33,64
2019-09-05,51,33,63
2019-09-06,42,27,53
2019-09-07,38,24,44
2019-09-08,39,24,49
2019-09-09,42,26,53
2019-09-10,29,20,34
2019-09-11,21,15,25
2019-09-12,15,11,21
2019-09-13,12,10,19
2019-09-14,14,12,24
2019-09-15,19,16,32
