날짜,축산,수산,농산물
2019-09-16,30,20,43
2019-09-17,30,20,40
2019-09-18,29,19,39
2019-09-19,25,18,34
2019-09-20,20,15,29
2019-09-21,21,14,27
2019-09-22,24,18,36
2019-09-23,31,21,41
2019-09-24,29,21,38
2019-09-25,28,22,36
2019-09-26,26,21,34
2019-09-27,24,17,28
2019-09-28,17,16,26
2019-09-29,22,20,34
2019-09-30,30,23,40
2019-10-01,31,24,39
2019-10-02,27,21,33
2019-10-03,23,19,32
2019-10-04,21,18,31
2019-10-05,17,17,28
2019-10-06,22,20,35
2019-10-07,31,25,42
2019-10-08,25,19,36
2019-10-09,24,20,37
2019-10-10,26,21,38
2019-10-11,22,18,32
2019-10-12,17,16,29
2019-10-13,22,19,37
2019-10-14,28,22,42
2019-10-15,30,22,40
2019-10-16,29,23,38
2019-10-17,26,21,36
2019-10-18,21,17,30
2019-10-19,16,15,26
2019-10-20,21,20,35
2019-10-21,28,23,41
2019-10-22,28,22,39
2019-10-23,26,22,36
2019-10-24,25,21,34
2019-10-25,20,17,28
2019-10-26,15,14,25
2019-10-27,20,19,33
2019-10-28,28,23,40
2019-10-29,29,22,38
2019-10-30,28,22,35
2019-10-31,25,20,32
2019-11-01,21,18,29
2019-11-02,17,16,28
2019-11-03,22,22,34
2019-11-04,29,25,40
2019-11-05,29,26,40
2019-11-06,30,26,38
2019-11-07,27,23,34
2019-11-08,21,19,28
2019-11-09,17,16,25
2019-11-10,23,20,34
2019-11-11,29,23,38
2019-11-12,28,24,37
2019-11-13,28,26,35
2019-11-14,25,25,33
2019-11-15,22,19,27
2019-11-16,16,16,25
2019-11-17,23,21,34
2019-11-18,30,27,39
2019-11-19,29,26,37
2019-11-20,28,25,34
2019-11-21,25,23,31
2019-11-22,20,18,27
2019-11-23,16,15,24
2019-11-24,21,19,31
2019-11-25,30,24,38
2019-11-26,29,23,37
2019-11-27,31,24,35
2019-11-28,28,22,31
2019-11-29,21,17,26
2019-11-30,17,14,25
2019-12-01,24,20,35
2019-12-02,31,23,39
2019-12-03,31,23,38
2019-12-04,29,24,35
2019-12-05,26,26,33
2019-12-06,22,20,28
2019-12-07,18,16,25
2019-12-08,22,21,33
2019-12-09,30,25,39
2019-12-10,31,24,37
2019-12-11,30,25,36
2019-12-12,27,24,32
2019-12-13,21,20,28
2019-12-14,18,16,25
2019-12-15,23,22,34
2019-12-16,30,25,39
2019-12-17,31,26,38
2019-12-18,28,25,35
2019-12-19,28,24,31
2019-12-20,23,20,26
2019-12-21,19,17,23
2019-12-22,23,23,30
2019-12-23,27,24,31
2019-12-24,19,17,23
2019-12-25,19,19,25
2019-12-26,26,24,32
2019-12-27,23,21,28
2019-12-28,19,19,25
2019-12-29,24,23,31
2019-12-30,27,23,31
2019-12-31,21,16,24
2020-01-01,23,19,30
2020-01-02,30,24,36
2020-01-03,25,21,32
2020-01-04,22,19,29
2020-01-05,28,24,36
2020-01-06,37,28,43
2020-01-07,39,28,42
2020-01-08,38,28,41
2020-01-09,36,27,39
2020-01-10,28,23,33
2020-01-11,25,20,33
2020-01-12,31,25,42
2020-01-13,43,31,53
2020-01-14,46,32,54
2020-01-15,45,33,55
2020-01-16,44,31,55
2020-01-17,39,28,51
2020-01-18,34,25,46
2020-01-19,44,33,57
2020-01-20,53,37,66
2020-01-21,40,27,47
2020-01-22,28,19,33
2020-01-23,19,15,26
2020-01-24,14,13,21
2020-01-25,11,12,20
2020-01-26,14,13,24
2020-01-27,20,16,33
2020-01-28,26,19,39
2020-01-29,29,20,39
2020-01-30,27,20,37
2020-01-31,22,16,31
2020-02-01,22,16,32
2020-02-02,26,20,40
2020-02-03,32,20,42
2020-02-04,36,27,54
2020-02-05,36,31,47
2020-02-06,35,26,43
2020-02-07,28,21,36
2020-02-08,22,19,33
2020-02-09,27,24,41
2020-02-10,34,28,47
2020-02-11,36,28,44
2020-02-12,37,29,43
2020-02-13,33,30,40
2020-02-14,27,24,32
2020-02-15,20,20,30
2020-02-16,26,24,39
2020-02-17,38,27,47
2020-02-18,38,26,43
2020-02-19,35,24,41
2020-02-20,34,23,45
2020-02-21,30,20,42
2020-02-22,32,19,46
2020-02-23,40,24,77
2020-02-24,51,29,100
2020-02-25,56,31,75
2020-02-26,54,31,68
2020-02-27,53,30,63
2020-02-28,42,26,53
2020-02-29,38,25,50
2020-03-01,48,31,64
2020-03-02,57,33,64
2020-03-03,58,33,63
2020-03-04,59,35,63
2020-03-05,55,34,58
2020-03-06,43,29,48
2020-03-07,41,27,53
2020-03-08,43,30,57
2020-03-09,57,36,62
2020-03-10,60,37,64
2020-03-11,57,37,60
2020-03-12,51,36,61
2020-03-13,42,29,55
2020-03-14,35,26,51
2020-03-15,43,33,62
2020-03-16,56,39,72
2020-03-17,57,36,75
2020-03-18,55,36,72
2020-03-19,55,37,65
2020-03-20,41,29,54
2020-03-21,33,25,47
2020-03-22,39,30,58
2020-03-23,52,37,70
2020-03-24,53,36,69
2020-03-25,52,36,60
2020-03-26,50,35,58
2020-03-27,40,32,50
2020-03-28,32,27,46
2020-03-29,38,34,55
2020-03-30,49,40,64
2020-03-31,48,37,62
2020-04-01,54,38,66
2020-04-02,50,36,61
2020-04-03,44,30,48
2020-04-04,37,26,47
2020-04-05,41,31,58
2020-04-06,52,37,67
2020-04-07,53,37,64
2020-04-08,53,38,61
2020-04-09,51,37,60
2020-04-10,38,32,49
2020-04-11,34,28,45
2020-04-12,44,33,59
2020-04-13,51,36,61
2020-04-14,42,32,54
2020-04-15,40,30,53
2020-04-16,46,32,53
2020-04-17,40,33,49
2020-04-18,29,29,43
2020-04-19,42,36,58
2020-04-20,53,37,64
2020-04-21,52,38,62
2020-04-22,51,39,62
2020-04-23,47,35,63
2020-04-24,36,30,50
2020-04-25,31,25,44
2020-04-26,38,29,54
2020-04-27,48,35,62
2020-04-28,43,31,53
2020-04-29,32,23,41
2020-04-30,27,21,37
2020-05-01,26,21,38
2020-05-02,27,21,37
2020-05-03,33,24,44
2020-05-04,33,23,43
2020-05-05,36,26,47
2020-05-06,41,29,52
2020-05-07,38,26,46
2020-05-08,31,21,37
2020-05-09,27,20,37
2020-05-10,31,23,44
2020-05-11,41,27,50
2020-05-12,43,27,49
2020-05-13,41,25,46
2020-05-14,38,25,43
2020-05-15,34,23,37
2020-05-16,25,18,33
2020-05-17,31,21,40
2020-05-18,43,26,47
2020-05-19,41,24,47
2020-05-20,39,24,43
2020-05-21,36,23,40
2020-05-22,29,20,35
2020-05-23,23,16,35
2020-05-24,29,21,44
2020-05-25,40,24,50
2020-05-26,42,23,51
2020-05-27,39,23,48
2020-05-28,34,21,44
2020-05-29,28,18,36
2020-05-30,23,15,36
2020-05-31,29,19,54
2020-06-01,41,23,58
2020-06-02,42,26,58
2020-06-03,41,26,54
2020-06-04,39,22,49
2020-06-05,28,17,40
2020-06-06,24,16,38
2020-06-07,32,20,49
2020-06-08,42,21,58
2020-06-09,41,21,56
2020-06-10,40,21,53
2020-06-11,37,22,49
2020-06-12,30,18,43
2020-06-13,24,17,39
2020-06-14,30,20,49
2020-06-15,39,22,59
2020-06-16,39,23,57
2020-06-17,39,23,58
2020-06-18,38,23,55
2020-06-19,29,19,45
2020-06-20,23,15,40
2020-06-21,30,19,50
2020-06-22,40,22,63
2020-06-23,40,22,66
2020-06-24,41,24,64
2020-06-25,37,22,59
2020-06-26,30,20,46
2020-06-27,22,19,40
2020-06-28,29,21,49
2020-06-29,40,25,58
2020-06-30,41,24,56
