날짜,축산,수산,농산물
2019-01-01,21,27,53
2019-01-02,27,33,52
2019-01-03,28,32,50
2019-01-04,24,27,46
2019-01-05,22,25,43
2019-01-06,25,31,54
2019-01-07,29,31,60
2019-01-08,30,33,56
2019-01-09,33,34,54
2019-01-10,27,32,50
2019-01-11,24,27,47
2019-01-12,22,25,44
2019-01-13,25,28,59
2019-01-14,30,36,61
2019-01-15,31,35,57
2019-01-16,32,38,60
2019-01-17,34,38,58
2019-01-18,28,33,53
2019-01-19,26,34,53
2019-01-20,32,38,64
2019-01-21,41,44,77
2019-01-22,43,42,80
2019-01-23,43,46,78
2019-01-24,43,45,74
2019-01-25,38,38,66
2019-01-26,36,39,64
2019-01-27,43,45,78
2019-01-28,55,50,91
2019-01-29,51,46,83
2019-01-30,41,38,71
2019-01-31,31,29,50
2019-02-01,23,22,40
2019-02-02,21,24,35
2019-02-03,18,21,35
2019-02-04,13,16,27
2019-02-05,12,16,30
2019-02-06,18,27,52
2019-02-07,23,31,57
2019-02-08,22,27,51
2019-02-09,20,25,52
2019-02-10,23,30,61
2019-02-11,26,30,63
2019-02-12,25,31,62
2019-02-13,27,31,58
2019-02-14,25,28,51
2019-02-15,22,25,46
2019-02-16,20,26,46
2019-02-17,22,27,56
2019-02-18,27,28,64
2019-02-19,27,30,62
2019-02-20,27,29,58
2019-02-21,27,29,52
2019-02-22,21,23,46
2019-02-23,19,22,44
2019-02-24,22,27,56
2019-02-25,25,29,59
2019-02-26,25,29,56
2019-02-27,24,26,53
2019-02-28,20,21,43
2019-03-01,20,24,46
2019-03-02,19,23,46
2019-03-03,21,27,55
2019-03-04,21,25,53
2019-03-05,27,25,54
2019-03-06,24,26,53
2019-03-07,24,27,52
2019-03-08,20,22,42
2019-03-09,18,20,44
2019-03-10,22,27,59
2019-03-11,27,29,59
2019-03-12,25,29,54
2019-03-13,24,32,55
2019-03-14,23,29,49
2019-03-15,20,24,42
2019-03-16,19,25,41
2019-03-17,21,25,50
2019-03-18,26,28,56
2019-03-19,24,27,52
2019-03-20,24,29,54
2019-03-21,25,28,50
2019-03-22,20,23,43
2019-03-23,19,24,42
2019-03-24,23,26,62
2019-03-25,27,30,64
2019-03-26,30,27,55
2019-03-27,25,28,57
2019-03-28,23,26,48
2019-03-29,19,21,38
2019-03-30,17,22,43
2019-03-31,21,24,54
2019-04-01,27,27,60
2019-04-02,25,26,56
2019-04-03,25,27,54
2019-04-04,26,25,49
2019-04-05,18,20,45
2019-04-06,17,21,42
2019-04-07,21,26,51
2019-04-08,24,26,57
2019-04-09,25,25,61
2019-04-10,26,29,54
2019-04-11,25,26,50
2019-04-12,20,22,43
2019-04-13,16,21,41
2019-04-14,21,27,61
2019-04-15,26,26,62
2019-04-16,25,24,55
2019-04-17,25,24,55
2019-04-18,25,24,53
2019-04-19,19,19,44
2019-04-20,17,19,41
2019-04-21,20,22,49
2019-04-22,24,22,56
2019-04-23,27,23,56
2019-04-24,24,23,54
2019-04-25,25,22,51
2019-04-26,21,19,44
2019-04-27,16,16,40
2019-04-28,23,21,49
2019-04-29,28,24,58
2019-04-30,26,21,48
2019-05-01,25,25,57
2019-05-02,23,22,47
2019-05-03,19,17,38
2019-05-04,14,18,36
2019-05-05,14,18,37
2019-05-06,20,23,50
2019-05-07,24,23,54
2019-05-08,23,22,55
2019-05-09,24,22,50
2019-05-10,20,18,42
2019-05-11,18,17,39
2019-05-12,22,22,50
2019-05-13,27,24,59
2019-05-14,28,22,57
2019-05-15,26,22,59
2019-05-16,27,20,55
2019-05-17,20,17,44
2019-05-18,20,19,42
2019-05-19,23,23,57
2019-05-20,27,26,57
2019-05-21,27,24,54
2019-05-22,28,24,55
2019-05-23,26,23,52
2019-05-24,22,18,44
2019-05-25,18,18,42
2019-05-26,23,24,50
2019-05-27,31,30,62
2019-05-28,29,26,62
2019-05-29,27,26,59
2019-05-30,26,24,57
2019-05-31,22,19,53
2019-06-01,22,20,51
2019-06-02,24,27,57
2019-06-03,30,27,70
2019-06-04,31,27,72
2019-06-05,26,26,60
2019-06-06,27,30,61
2019-06-07,25,23,56
2019-06-08,21,22,52
2019-06-09,26,29,72
2019-06-10,33,30,81
2019-06-11,33,28,75
2019-06-12,33,28,74
2019-06-13,32,27,71
2019-06-14,26,23,59
2019-06-15,22,22,56
2019-06-16,27,25,69
2019-06-17,33,28,80
2019-06-18,35,27,84
2019-06-19,32,29,75
2019-06-20,33,25,71
2019-06-21,27,24,61
2019-06-22,21,22,57
2019-06-23,25,23,68
2019-06-24,32,26,80
2019-06-25,32,25,81
2019-06-26,32,28,76
2019-06-27,29,23,67
2019-06-28,25,20,57
2019-06-29,25,20,59
2019-06-30,27,23,66
2019-07-01,34,25,73
2019-07-02,32,25,71
2019-07-03,34,25,71
2019-07-04,32,23,64
2019-07-05,25,19,55
2019-07-06,21,18,48
2019-07-07,28,23,62
2019-07-08,35,26,69
2019-07-09,37,25,68
2019-07-10,38,26,67
2019-07-11,34,23,62
2019-07-12,28,19,53
2019-07-13,24,19,62
2019-07-14,28,22,61
2019-07-15,35,25,72
2019-07-16,33,25,61
2019-07-17,35,25,60
2019-07-18,35,24,62
2019-07-19,29,20,49
2019-07-20,27,21,50
2019-07-21,29,22,53
2019-07-22,38,24,58
2019-07-23,37,23,57
2019-07-24,36,26,56
2019-07-25,35,25,53
2019-07-26,28,22,49
2019-07-27,25,18,43
2019-07-28,30,21,48
2019-07-29,33,23,53
2019-07-30,32,23,53
2019-07-31,33,26,50
2019-08-01,32,23,52
2019-08-02,27,21,43
2019-08-03,24,20,41
2019-08-04,26,22,49
2019-08-05,33,25,60
2019-08-06,37,25,64
2019-08-07,36,27,60
2019-08-08,35,26,56
2019-08-09,29,21,49
2019-08-10,24,20,48
2019-08-11,29,23,55
2019-08-12,35,28,64
2019-08-13,35,28,60
2019-08-14,28,24,56
2019-08-15,33,27,61
2019-08-16,28,24,53
2019-08-17,26,23,55
2019-08-18,29,27,62
2019-08-19,38,31,71
2019-08-20,39,33,68
2019-08-21,43,35,71
2019-08-22,39,34,65
2019-08-23,33,30,58
2019-08-24,28,30,54
2019-08-25,32,33,67
2019-08-26,44,41,77
2019-08-27,45,41,77
2019-08-28,48,41,78
2019-08-29,48,41,76
2019-08-30,37,35,65
2019-08-31,35,34,67
2019-09-01,45,43,93
2019-09-02,59,50,99
2019-09-03,63,52,100
2019-09-04,64,54,99
2019-09-05,66,51,95
2019-09-06,53,43,79
2019-09-07,49,44,73
2019-09-08,49,39,70
2019-09-09,47,39,72
2019-09-10,35,32,55
2019-09-11,27,26,44
2019-09-12,18,18,33
2019-09-13,15,16,34
2019-09-14,18,21,49
2019-09-15,24,27,64
2019-09-16,31,31,77
2019-09-17,33,31,73
2019-09-18,33,31,72
2019-09-19,30,29,65
2019-09-20,24,25,62
2019-09-21,26,26,62
2019-09-22,30,31,72
2019-09-23,34,32,75
2019-09-24,35,32,74
2019-09-25,31,33,70
2019-09-26,32,31,68
2019-09-27,28,26,61
2019-09-28,22,26,59
2019-09-29,28,30,71
2019-09-30,35,32,78
2019-10-01,34,35,78
2019-10-02,32,32,69
2019-10-03,28,32,69
2019-10-04,25,27,67
2019-10-05,22,30,67
2019-10-06,27,33,73
2019-10-07,34,39,82
2019-10-08,29,31,75
2019-10-09,32,37,85
2019-10-10,31,35,78
2019-10-11,26,31,68
2019-10-12,23,29,66
2019-10-13,27,34,81
2019-10-14,31,35,87
2019-10-15,34,34,81
2019-10-16,32,36,80
2019-10-17,31,33,77
2019-10-18,26,29,69
2019-10-19,22,28,63
2019-10-20,26,35,77
2019-10-21,32,36,86
2019-10-22,32,36,82
2019-10-23,30,36,79
2019-10-24,30,34,74
2019-10-25,25,28,63
2019-10-26,21,27,60
2019-10-27,26,33,74
2019-10-28,32,37,84
2019-10-29,32,38,81
2019-10-30,30,36,72
2019-10-31,28,34,69
2019-11-01,26,32,65
2019-11-02,22,30,63
2019-11-03,27,36,73
2019-11-04,31,39,80
2019-11-05,31,40,83
2019-11-06,32,40,78
2019-11-07,32,38,73
2019-11-08,25,34,61
2019-11-09,22,30,60
2019-11-10,27,36,73
2019-11-11,31,40,80
2019-11-12,30,40,75
2019-11-13,31,45,73
2019-11-14,28,43,65
2019-11-15,25,34,60
2019-11-16,21,31,56
2019-11-17,26,39,71
2019-11-18,32,45,75
2019-11-19,32,44,72
2019-11-20,30,43,67
2019-11-21,29,40,63
2019-11-22,23,33,56
2019-11-23,22,27,54
2019-11-24,27,34,63
2019-11-25,33,42,73
2019-11-26,33,39,72
2019-11-27,34,44,68
2019-11-28,31,39,62
2019-11-29,25,30,55
2019-11-30,23,28,52
2019-12-01,29,36,70
2019-12-02,34,40,71
2019-12-03,35,40,70
2019-12-04,32,44,68
2019-12-05,30,46,63
2019-12-06,27,38,58
2019-12-07,23,31,54
2019-12-08,27,38,66
2019-12-09,34,42,73
2019-12-10,36,38,70
2019-12-11,34,40,70
2019-12-12,33,43,64
2019-12-13,26,35,57
2019-12-14,23,32,54
2019-12-15,30,37,69
2019-12-16,35,41,70
2019-12-17,35,41,69
2019-12-18,32,43,66
2019-12-19,35,40,61
2019-12-20,28,33,52
2019-12-21,25,31,49
2019-12-22,29,38,58
2019-12-23,33,38,59
2019-12-24,25,30,47
2019-12-25,30,35,54
2019-12-26,34,39,57
2019-12-27,29,34,50
2019-12-28,25,32,50
2019-12-29,33,37,61
2019-12-30,33,37,57
2019-12-31,29,27,45
2020-01-01,37,39,65
