날짜,여성의류,남성의류
2019-10-17,64,15
2019-10-18,57,13
2019-10-19,57,13
2019-10-20,70,16
2019-10-21,68,16
2019-10-22,66,14
2019-10-23,64,13
2019-10-24,58,12
2019-10-25,50,10
2019-10-26,58,13
2019-10-27,74,19
2019-10-28,75,19
2019-10-29,73,17
2019-10-30,72,17
2019-10-31,63,14
2019-11-01,58,14
2019-11-02,66,15
2019-11-03,80,19
2019-11-04,74,17
2019-11-05,75,17
2019-11-06,75,17
2019-11-07,73,16
2019-11-08,70,16
2019-11-09,74,18
2019-11-10,93,23
2019-11-11,86,22
2019-11-12,85,19
2019-11-13,87,20
2019-11-14,86,21
2019-11-15,75,18
2019-11-16,78,17
2019-11-17,100,22
2019-11-18,96,22
2019-11-19,98,23
2019-11-20,93,21
2019-11-21,80,17
2019-11-22,67,13
2019-11-23,70,14
2019-11-24,87,17
2019-11-25,82,17
2019-11-26,79,15
2019-11-27,79,15
2019-11-28,74,14
2019-11-29,64,12
2019-11-30,71,14
2019-12-01,94,19
2019-12-02,87,18
2019-12-03,87,18
2019-12-04,83,15
2019-12-05,81,16
2019-12-06,72,15
2019-12-07,75,15
2019-12-08,91,18
2019-12-09,83,17
2019-12-10,79,15
2019-12-11,76,14
2019-12-12,70,13
2019-12-13,61,11
2019-12-14,66,12
2019-12-15,79,15
2019-12-16,73,14
2019-12-17,70,13
2019-12-18,64,12
2019-12-19,57,10
2019-12-20,50,9
2019-12-21,53,10
2019-12-22,64,12
2019-12-23,55,11
2019-12-24,43,8
2019-12-25,52,10
2019-12-26,52,10
2019-12-27,47,9
2019-12-28,51,9
2019-12-29,59,11
2019-12-30,51,9
2019-12-31,41,8
2020-01-01,47,9
