날짜,가구/인테리어
2019-01-01,84
2019-01-02,90
2019-01-03,83
2019-01-04,76
2019-01-05,79
2019-01-06,99
2019-01-07,97
2019-01-08,90
2019-01-09,88
2019-01-10,74
2019-01-11,58
2019-01-12,59
2019-01-13,75
2019-01-14,75
2019-01-15,70
2019-01-16,70
2019-01-17,67
2019-01-18,60
2019-01-19,63
2019-01-20,79
2019-01-21,78
2019-01-22,75
2019-01-23,77
2019-01-24,67
2019-01-25,60
2019-01-26,62
2019-01-27,78
2019-01-28,77
2019-01-29,67
2019-01-30,62
2019-01-31,55
2019-02-01,48
2019-02-02,52
2019-02-03,59
2019-02-04,53
2019-02-05,51
2019-02-06,73
2019-02-07,79
2019-02-08,72
2019-02-09,74
2019-02-10,91
2019-02-11,84
2019-02-12,77
2019-02-13,76
2019-02-14,70
2019-02-15,66
2019-02-16,70
2019-02-17,89
2019-02-18,87
2019-02-19,80
2019-02-20,74
2019-02-21,72
2019-02-22,65
2019-02-23,66
2019-02-24,88
2019-02-25,84
2019-02-26,76
2019-02-27,73
2019-02-28,63
2019-03-01,71
2019-03-02,78
2019-03-03,89
2019-03-04,75
2019-03-05,68
2019-03-06,67
2019-03-07,65
2019-03-08,59
2019-03-09,62
2019-03-10,82
2019-03-11,76
2019-03-12,67
2019-03-13,66
2019-03-14,61
2019-03-15,56
2019-03-16,61
2019-03-17,76
2019-03-18,76
2019-03-19,69
2019-03-20,67
2019-03-21,62
2019-03-22,57
2019-03-23,59
2019-03-24,72
2019-03-25,75
2019-03-26,66
2019-03-27,64
2019-03-28,59
2019-03-29,51
2019-03-30,54
2019-03-31,69
2019-04-01,68
2019-04-02,64
2019-04-03,60
2019-04-04,57
2019-04-05,50
2019-04-06,52
2019-04-07,64
2019-04-08,66
2019-04-09,62
2019-04-10,60
2019-04-11,56
2019-04-12,50
2019-04-13,48
2019-04-14,66
2019-04-15,65
2019-04-16,60
2019-04-17,57
2019-04-18,55
2019-04-19,48
2019-04-20,49
2019-04-21,62
2019-04-22,64
2019-04-23,62
2019-04-24,60
2019-04-25,59
2019-04-26,52
2019-04-27,48
2019-04-28,64
2019-04-29,68
2019-04-30,58
2019-05-01,62
2019-05-02,60
2019-05-03,50
2019-05-04,49
2019-05-05,53
2019-05-06,66
2019-05-07,63
2019-05-08,58
2019-05-09,58
2019-05-10,51
2019-05-11,51
2019-05-12,65
2019-05-13,68
2019-05-14,63
2019-05-15,61
2019-05-16,61
2019-05-17,54
2019-05-18,53
2019-05-19,71
2019-05-20,70
2019-05-21,65
2019-05-22,61
2019-05-23,58
2019-05-24,53
2019-05-25,54
2019-05-26,69
2019-05-27,72
2019-05-28,65
2019-05-29,62
2019-05-30,58
2019-05-31,49
2019-06-01,56
2019-06-02,70
2019-06-03,71
2019-06-04,66
2019-06-05,59
2019-06-06,68
2019-06-07,62
2019-06-08,59
2019-06-09,76
2019-06-10,72
2019-06-11,68
2019-06-12,66
2019-06-13,63
2019-06-14,55
2019-06-15,55
2019-06-16,70
2019-06-17,73
2019-06-18,69
2019-06-19,66
2019-06-20,63
2019-06-21,56
2019-06-22,56
2019-06-23,69
2019-06-24,73
2019-06-25,67
2019-06-26,67
2019-06-27,60
2019-06-28,56
2019-06-29,58
2019-06-30,74
2019-07-01,75
2019-07-02,70
2019-07-03,67
2019-07-04,63
2019-07-05,56
2019-07-06,56
2019-07-07,69
2019-07-08,71
2019-07-09,68
2019-07-10,66
2019-07-11,62
2019-07-12,55
2019-07-13,61
2019-07-14,78
2019-07-15,80
2019-07-16,72
2019-07-17,69
2019-07-18,69
2019-07-19,60
2019-07-20,64
2019-07-21,79
2019-07-22,80
2019-07-23,75
2019-07-24,72
2019-07-25,67
2019-07-26,61
2019-07-27,60
2019-07-28,76
2019-07-29,75
2019-07-30,70
2019-07-31,67
2019-08-01,65
2019-08-02,58
2019-08-03,59
2019-08-04,72
2019-08-05,73
2019-08-06,71
2019-08-07,70
2019-08-08,67
2019-08-09,60
2019-08-10,62
2019-08-11,77
2019-08-12,77
2019-08-13,74
2019-08-14,68
2019-08-15,76
2019-08-16,69
2019-08-17,68
2019-08-18,78
2019-08-19,80
2019-08-20,76
2019-08-21,75
2019-08-22,71
2019-08-23,64
2019-08-24,65
2019-08-25,81
2019-08-26,83
2019-08-27,79
2019-08-28,78
2019-08-29,76
2019-08-30,65
2019-08-31,67
2019-09-01,87
2019-09-02,85
2019-09-03,82
2019-09-04,77
2019-09-05,73
2019-09-06,64
2019-09-07,72
2019-09-08,84
2019-09-09,76
2019-09-10,65
2019-09-11,53
2019-09-12,51
2019-09-13,52
2019-09-14,66
2019-09-15,88
2019-09-16,91
2019-09-17,84
2019-09-18,81
2019-09-19,76
2019-09-20,66
2019-09-21,71
2019-09-22,93
2019-09-23,88
2019-09-24,82
2019-09-25,78
2019-09-26,73
2019-09-27,64
2019-09-28,66
2019-09-29,83
2019-09-30,84
2019-10-01,80
2019-10-02,75
2019-10-03,80
2019-10-04,74
2019-10-05,72
2019-10-06,88
2019-10-07,90
2019-10-08,75
2019-10-09,86
2019-10-10,82
2019-10-11,69
2019-10-12,69
2019-10-13,86
2019-10-14,84
2019-10-15,78
2019-10-16,76
2019-10-17,72
2019-10-18,66
2019-10-19,66
2019-10-20,85
2019-10-21,88
2019-10-22,82
2019-10-23,76
2019-10-24,72
2019-10-25,63
2019-10-26,63
2019-10-27,84
2019-10-28,88
2019-10-29,81
2019-10-30,77
2019-10-31,70
2019-11-01,66
2019-11-02,71
2019-11-03,91
2019-11-04,92
2019-11-05,86
2019-11-06,83
2019-11-07,80
2019-11-08,70
2019-11-09,71
2019-11-10,92
2019-11-11,91
2019-11-12,86
2019-11-13,87
2019-11-14,80
2019-11-15,71
2019-11-16,71
2019-11-17,97
2019-11-18,96
2019-11-19,89
2019-11-20,85
2019-11-21,78
2019-11-22,68
2019-11-23,68
2019-11-24,90
2019-11-25,91
2019-11-26,87
2019-11-27,86
2019-11-28,80
2019-11-29,70
2019-11-30,72
2019-12-01,100
2019-12-02,96
2019-12-03,92
2019-12-04,88
2019-12-05,84
2019-12-06,74
2019-12-07,74
2019-12-08,94
2019-12-09,95
2019-12-10,88
2019-12-11,86
2019-12-12,81
2019-12-13,72
2019-12-14,73
2019-12-15,93
2019-12-16,93
2019-12-17,87
2019-12-18,78
2019-12-19,72
2019-12-20,62
2019-12-21,62
2019-12-22,79
2019-12-23,74
2019-12-24,56
