날짜,패션잡화
2019-01-01,72
2019-01-02,72
2019-01-03,68
2019-01-04,65
2019-01-05,69
2019-01-06,81
2019-01-07,75
2019-01-08,72
2019-01-09,71
2019-01-10,61
2019-01-11,49
2019-01-12,52
2019-01-13,63
2019-01-14,58
2019-01-15,54
2019-01-16,56
2019-01-17,54
2019-01-18,49
2019-01-19,54
2019-01-20,64
2019-01-21,60
2019-01-22,59
2019-01-23,58
2019-01-24,55
2019-01-25,50
2019-01-26,53
2019-01-27,64
2019-01-28,60
2019-01-29,55
2019-01-30,52
2019-01-31,49
2019-02-01,46
2019-02-02,52
2019-02-03,60
2019-02-04,57
2019-02-05,61
2019-02-06,76
2019-02-07,76
2019-02-08,69
2019-02-09,72
2019-02-10,84
2019-02-11,73
2019-02-12,67
2019-02-13,65
2019-02-14,61
2019-02-15,58
2019-02-16,63
2019-02-17,78
2019-02-18,71
2019-02-19,67
2019-02-20,66
2019-02-21,62
2019-02-22,58
2019-02-23,64
2019-02-24,79
2019-02-25,73
2019-02-26,68
2019-02-27,65
2019-02-28,59
2019-03-01,69
2019-03-02,73
2019-03-03,83
2019-03-04,67
2019-03-05,63
2019-03-06,63
2019-03-07,60
2019-03-08,56
2019-03-09,64
2019-03-10,81
2019-03-11,68
2019-03-12,60
2019-03-13,59
2019-03-14,56
2019-03-15,54
2019-03-16,61
2019-03-17,74
2019-03-18,68
2019-03-19,64
2019-03-20,65
2019-03-21,59
2019-03-22,53
2019-03-23,60
2019-03-24,71
2019-03-25,67
2019-03-26,64
2019-03-27,62
2019-03-28,57
2019-03-29,51
2019-03-30,57
2019-03-31,68
2019-04-01,64
2019-04-02,61
2019-04-03,62
2019-04-04,57
2019-04-05,51
2019-04-06,56
2019-04-07,69
2019-04-08,66
2019-04-09,64
2019-04-10,61
2019-04-11,60
2019-04-12,53
2019-04-13,56
2019-04-14,71
2019-04-15,65
2019-04-16,62
2019-04-17,63
2019-04-18,59
2019-04-19,51
2019-04-20,57
2019-04-21,68
2019-04-22,66
2019-04-23,63
2019-04-24,61
2019-04-25,59
2019-04-26,52
2019-04-27,56
2019-04-28,70
2019-04-29,68
2019-04-30,59
2019-05-01,70
2019-05-02,66
2019-05-03,56
2019-05-04,58
2019-05-05,64
2019-05-06,74
2019-05-07,69
2019-05-08,65
2019-05-09,63
2019-05-10,58
2019-05-11,61
2019-05-12,75
2019-05-13,72
2019-05-14,69
2019-05-15,70
2019-05-16,68
2019-05-17,61
2019-05-18,63
2019-05-19,78
2019-05-20,72
2019-05-21,71
2019-05-22,71
2019-05-23,67
2019-05-24,62
2019-05-25,64
2019-05-26,80
2019-05-27,75
2019-05-28,71
2019-05-29,72
2019-05-30,65
2019-05-31,56
2019-06-01,63
2019-06-02,79
2019-06-03,76
2019-06-04,74
2019-06-05,67
2019-06-06,76
2019-06-07,66
2019-06-08,68
2019-06-09,82
2019-06-10,77
2019-06-11,75
2019-06-12,73
2019-06-13,68
2019-06-14,61
2019-06-15,64
2019-06-16,77
2019-06-17,75
2019-06-18,74
2019-06-19,71
2019-06-20,67
2019-06-21,61
2019-06-22,63
2019-06-23,77
2019-06-24,76
2019-06-25,76
2019-06-26,78
2019-06-27,65
2019-06-28,61
2019-06-29,65
2019-06-30,80
2019-07-01,77
2019-07-02,75
2019-07-03,73
2019-07-04,69
2019-07-05,63
2019-07-06,65
2019-07-07,81
2019-07-08,79
2019-07-09,74
2019-07-10,74
2019-07-11,68
2019-07-12,62
2019-07-13,70
2019-07-14,86
2019-07-15,82
2019-07-16,77
2019-07-17,75
2019-07-18,74
2019-07-19,67
2019-07-20,71
2019-07-21,84
2019-07-22,81
2019-07-23,79
2019-07-24,75
2019-07-25,71
2019-07-26,66
2019-07-27,68
2019-07-28,82
2019-07-29,77
2019-07-30,75
2019-07-31,74
2019-08-01,73
2019-08-02,67
2019-08-03,67
2019-08-04,80
2019-08-05,77
2019-08-06,76
2019-08-07,73
2019-08-08,70
2019-08-09,65
2019-08-10,66
2019-08-11,80
2019-08-12,77
2019-08-13,74
2019-08-14,68
2019-08-15,74
2019-08-16,67
2019-08-17,68
2019-08-18,76
2019-08-19,74
2019-08-20,75
2019-08-21,73
2019-08-22,67
2019-08-23,63
2019-08-24,68
2019-08-25,80
2019-08-26,78
2019-08-27,77
2019-08-28,77
2019-08-29,74
2019-08-30,66
2019-08-31,70
2019-09-01,91
2019-09-02,85
2019-09-03,83
2019-09-04,79
2019-09-05,77
2019-09-06,71
2019-09-07,79
2019-09-08,90
2019-09-09,78
2019-09-10,68
2019-09-11,62
2019-09-12,65
2019-09-13,68
2019-09-14,80
2019-09-15,100
2019-09-16,96
2019-09-17,90
2019-09-18,85
2019-09-19,77
2019-09-20,68
2019-09-21,75
2019-09-22,94
2019-09-23,85
2019-09-24,80
2019-09-25,78
2019-09-26,73
2019-09-27,67
2019-09-28,70
2019-09-29,86
2019-09-30,81
2019-10-01,81
2019-10-02,76
2019-10-03,83
2019-10-04,75
2019-10-05,77
2019-10-06,91
2019-10-07,86
2019-10-08,73
2019-10-09,84
2019-10-10,79
2019-10-11,68
2019-10-12,72
2019-10-13,86
2019-10-14,78
2019-10-15,74
2019-10-16,74
2019-10-17,70
2019-10-18,64
2019-10-19,66
2019-10-20,80
2019-10-21,78
2019-10-22,76
2019-10-23,73
2019-10-24,68
2019-10-25,60
2019-10-26,65
2019-10-27,79
2019-10-28,78
2019-10-29,75
2019-10-30,71
2019-10-31,65
2019-11-01,64
2019-11-02,71
2019-11-03,85
2019-11-04,79
2019-11-05,77
2019-11-06,76
2019-11-07,72
2019-11-08,67
2019-11-09,70
2019-11-10,87
2019-11-11,83
2019-11-12,80
2019-11-13,78
2019-11-14,76
2019-11-15,69
2019-11-16,73
2019-11-17,91
2019-11-18,88
2019-11-19,86
2019-11-20,83
2019-11-21,76
2019-11-22,65
2019-11-23,69
2019-11-24,85
2019-11-25,85
2019-11-26,80
2019-11-27,80
