날짜,건강식품,다이어트식품
2019-10-17,60,17
2019-10-18,52,14
2019-10-19,48,13
2019-10-20,57,15
2019-10-21,73,18
2019-10-22,69,17
2019-10-23,66,19
2019-10-24,64,15
2019-10-25,55,12
2019-10-26,48,11
2019-10-27,56,14
2019-10-28,72,17
2019-10-29,68,17
2019-10-30,63,16
2019-10-31,59,15
2019-11-01,58,13
2019-11-02,50,11
2019-11-03,60,14
2019-11-04,73,19
2019-11-05,73,16
2019-11-06,67,16
2019-11-07,62,14
2019-11-08,52,12
2019-11-09,48,10
2019-11-10,58,14
2019-11-11,69,18
2019-11-12,68,17
2019-11-13,68,17
2019-11-14,59,15
2019-11-15,52,13
2019-11-16,48,11
2019-11-17,59,18
2019-11-18,67,18
2019-11-19,67,17
2019-11-20,63,16
2019-11-21,60,15
2019-11-22,52,15
2019-11-23,46,13
2019-11-24,55,16
2019-11-25,68,19
2019-11-26,68,17
2019-11-27,67,18
2019-11-28,61,15
2019-11-29,54,12
2019-11-30,49,12
2019-12-01,65,17
2019-12-02,73,18
2019-12-03,69,17
2019-12-04,65,17
2019-12-05,63,15
2019-12-06,53,13
2019-12-07,49,11
2019-12-08,59,15
2019-12-09,71,17
2019-12-10,70,17
2019-12-11,72,16
2019-12-12,63,14
2019-12-13,54,12
2019-12-14,50,12
2019-12-15,60,14
2019-12-16,69,16
2019-12-17,73,16
2019-12-18,69,15
2019-12-19,63,14
2019-12-20,54,11
2019-12-21,46,11
2019-12-22,55,12
2019-12-23,62,14
2019-12-24,47,10
2019-12-25,50,11
2019-12-26,67,13
2019-12-27,60,14
2019-12-28,52,12
2019-12-29,61,14
2019-12-30,63,14
2019-12-31,51,12
2020-01-01,62,16
