날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2019-01-01,40,8
2019-01-02,40,9
2019-01-03,38,7
2019-01-04,36,7
2019-01-05,40,7
2019-01-06,45,8
2019-01-07,40,8
2019-01-08,39,8
2019-01-09,39,8
2019-01-10,34,6
2019-01-11,30,5
2019-01-12,34,6
2019-01-13,39,6
2019-01-14,35,6
2019-01-15,31,6
2019-01-16,33,6
2019-01-17,33,6
2019-01-18,31,5
2019-01-19,33,6
2019-01-20,39,7
2019-01-21,36,6
2019-01-22,34,6
2019-01-23,35,5
2019-01-24,32,5
2019-01-25,29,4
2019-01-26,32,5
2019-01-27,36,7
2019-01-28,32,6
2019-01-29,33,5
2019-01-30,28,5
2019-01-31,26,4
2019-02-01,24,4
2019-02-02,27,4
2019-02-03,33,5
2019-02-04,27,4
2019-02-05,28,4
2019-02-06,41,7
2019-02-07,40,8
2019-02-08,40,7
2019-02-09,41,8
2019-02-10,49,9
2019-02-11,40,8
2019-02-12,39,7
2019-02-13,38,7
2019-02-14,36,7
2019-02-15,33,6
2019-02-16,35,6
2019-02-17,43,8
2019-02-18,38,7
2019-02-19,37,7
2019-02-20,36,7
2019-02-21,35,6
2019-02-22,36,6
2019-02-23,38,6
2019-02-24,47,8
2019-02-25,38,7
2019-02-26,38,6
2019-02-27,38,7
2019-02-28,34,6
2019-03-01,41,7
2019-03-02,40,7
2019-03-03,45,8
2019-03-04,35,6
2019-03-05,37,7
2019-03-06,35,6
2019-03-07,35,6
2019-03-08,36,5
2019-03-09,36,6
2019-03-10,47,8
2019-03-11,40,7
2019-03-12,38,6
2019-03-13,37,6
2019-03-14,36,5
2019-03-15,33,5
2019-03-16,36,5
2019-03-17,44,7
2019-03-18,39,6
2019-03-19,40,6
2019-03-20,40,6
2019-03-21,38,5
2019-03-22,35,5
2019-03-23,40,6
2019-03-24,47,7
2019-03-25,42,7
2019-03-26,41,7
2019-03-27,41,6
2019-03-28,39,5
2019-03-29,36,4
2019-03-30,39,5
2019-03-31,43,6
2019-04-01,40,6
2019-04-02,41,6
2019-04-03,39,5
2019-04-04,37,5
2019-04-05,34,5
2019-04-06,41,5
2019-04-07,48,7
2019-04-08,42,6
2019-04-09,45,6
2019-04-10,39,6
2019-04-11,41,5
2019-04-12,35,5
2019-04-13,37,5
2019-04-14,49,7
2019-04-15,43,6
2019-04-16,43,7
2019-04-17,44,7
2019-04-18,45,6
2019-04-19,41,5
2019-04-20,42,6
2019-04-21,54,8
2019-04-22,48,9
2019-04-23,51,8
2019-04-24,50,8
2019-04-25,50,8
2019-04-26,44,6
2019-04-27,41,6
2019-04-28,49,8
2019-04-29,45,8
2019-04-30,41,7
2019-05-01,50,9
2019-05-02,46,7
2019-05-03,42,7
2019-05-04,45,7
2019-05-05,48,8
2019-05-06,55,10
2019-05-07,47,9
2019-05-08,49,8
2019-05-09,51,7
2019-05-10,47,7
2019-05-11,49,8
2019-05-12,61,10
2019-05-13,58,9
2019-05-14,63,10
2019-05-15,70,10
2019-05-16,68,10
2019-05-17,63,9
2019-05-18,60,10
2019-05-19,75,12
2019-05-20,62,11
2019-05-21,64,10
2019-05-22,63,10
2019-05-23,61,9
2019-05-24,65,9
2019-05-25,67,10
2019-05-26,83,12
2019-05-27,80,11
2019-05-28,69,10
2019-05-29,67,10
2019-05-30,67,10
2019-05-31,57,7
2019-06-01,62,9
2019-06-02,73,11
2019-06-03,70,11
2019-06-04,72,10
2019-06-05,70,10
2019-06-06,78,12
2019-06-07,65,9
2019-06-08,67,10
2019-06-09,79,12
2019-06-10,71,11
2019-06-11,67,10
2019-06-12,74,10
2019-06-13,69,9
2019-06-14,62,8
2019-06-15,67,9
2019-06-16,81,11
2019-06-17,72,11
2019-06-18,69,11
2019-06-19,74,10
2019-06-20,69,10
2019-06-21,70,9
2019-06-22,71,9
2019-06-23,76,12
2019-06-24,75,11
2019-06-25,73,11
2019-06-26,75,11
2019-06-27,71,10
2019-06-28,66,9
2019-06-29,73,10
2019-06-30,85,12
2019-07-01,80,12
2019-07-02,80,12
2019-07-03,75,12
2019-07-04,77,11
2019-07-05,72,9
2019-07-06,73,10
2019-07-07,84,13
2019-07-08,75,13
2019-07-09,73,11
2019-07-10,73,11
2019-07-11,68,10
2019-07-12,69,9
2019-07-13,81,12
2019-07-14,90,15
2019-07-15,84,13
2019-07-16,82,13
2019-07-17,82,13
2019-07-18,87,12
2019-07-19,79,11
2019-07-20,80,12
2019-07-21,95,16
2019-07-22,91,14
2019-07-23,100,15
2019-07-24,95,15
2019-07-25,89,13
2019-07-26,77,11
2019-07-27,83,13
2019-07-28,94,15
2019-07-29,84,15
2019-07-30,86,14
2019-07-31,86,13
2019-08-01,84,14
2019-08-02,80,12
2019-08-03,85,13
2019-08-04,88,15
2019-08-05,84,14
2019-08-06,86,13
2019-08-07,85,12
2019-08-08,84,12
2019-08-09,76,11
2019-08-10,82,12
2019-08-11,87,14
2019-08-12,77,11
2019-08-13,79,12
2019-08-14,76,12
2019-08-15,83,13
2019-08-16,67,11
2019-08-17,73,11
2019-08-18,75,11
2019-08-19,67,11
2019-08-20,64,11
2019-08-21,66,10
2019-08-22,59,9
2019-08-23,55,8
2019-08-24,54,8
2019-08-25,59,10
2019-08-26,55,10
2019-08-27,61,9
2019-08-28,60,10
2019-08-29,55,9
2019-08-30,47,7
2019-08-31,50,8
2019-09-01,60,10
2019-09-02,50,9
2019-09-03,53,9
2019-09-04,51,9
2019-09-05,49,8
2019-09-06,45,7
2019-09-07,52,8
2019-09-08,54,9
2019-09-09,47,8
2019-09-10,43,6
2019-09-11,36,6
2019-09-12,35,5
2019-09-13,33,5
2019-09-14,45,7
2019-09-15,60,11
2019-09-16,57,11
2019-09-17,56,10
2019-09-18,56,10
2019-09-19,54,10
2019-09-20,48,8
2019-09-21,54,9
2019-09-22,66,11
2019-09-23,55,11
2019-09-24,56,10
2019-09-25,55,9
2019-09-26,47,8
2019-09-27,46,8
2019-09-28,47,7
2019-09-29,57,8
2019-09-30,50,9
2019-10-01,52,9
2019-10-02,54,8
2019-10-03,59,9
2019-10-04,49,8
2019-10-05,54,8
2019-10-06,61,10
2019-10-07,59,10
2019-10-08,52,9
2019-10-09,65,11
2019-10-10,57,10
2019-10-11,49,8
2019-10-12,52,8
2019-10-13,59,11
2019-10-14,55,10
2019-10-15,55,11
2019-10-16,55,10
2019-10-17,54,10
2019-10-18,51,9
2019-10-19,53,9
2019-10-20,59,11
2019-10-21,55,11
2019-10-22,55,10
2019-10-23,54,9
2019-10-24,49,8
2019-10-25,43,8
2019-10-26,50,8
2019-10-27,62,12
2019-10-28,59,12
2019-10-29,56,12
2019-10-30,55,10
2019-10-31,49,9
2019-11-01,44,8
2019-11-02,55,10
2019-11-03,61,11
2019-11-04,57,11
2019-11-05,53,10
2019-11-06,53,10
2019-11-07,52,10
2019-11-08,53,10
2019-11-09,53,10
2019-11-10,63,14
2019-11-11,58,13
2019-11-12,56,12
2019-11-13,58,11
2019-11-14,56,12
2019-11-15,53,11
2019-11-16,54,11
2019-11-17,66,14
2019-11-18,63,15
2019-11-19,61,16
2019-11-20,58,15
2019-11-21,53,13
2019-11-22,46,10
2019-11-23,47,10
2019-11-24,56,12
2019-11-25,54,13
2019-11-26,52,12
2019-11-27,52,12
2019-11-28,50,11
2019-11-29,44,9
2019-11-30,49,10
2019-12-01,63,14
2019-12-02,58,15
2019-12-03,58,14
2019-12-04,55,14
2019-12-05,56,14
2019-12-06,52,14
2019-12-07,53,14
2019-12-08,65,15
2019-12-09,58,14
2019-12-10,54,12
2019-12-11,55,12
2019-12-12,53,11
2019-12-13,47,10
2019-12-14,50,10
2019-12-15,57,12
2019-12-16,50,11
2019-12-17,53,10
2019-12-18,47,10
2019-12-19,45,8
2019-12-20,41,8
2019-12-21,41,8
2019-12-22,49,10
2019-12-23,42,9
2019-12-24,35,7
2019-12-25,48,9
2019-12-26,41,8
2019-12-27,38,7
2019-12-28,41,8
2019-12-29,51,9
2019-12-30,41,8
2019-12-31,35,7
2020-01-01,52,11
