날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2019-01-01,53,8
2019-01-02,56,8
2019-01-03,51,8
2019-01-04,48,7
2019-01-05,48,6
2019-01-06,60,8
2019-01-07,58,8
2019-01-08,56,7
2019-01-09,53,7
2019-01-10,46,6
2019-01-11,36,4
2019-01-12,36,4
2019-01-13,47,6
2019-01-14,46,5
2019-01-15,42,5
2019-01-16,42,5
2019-01-17,39,5
2019-01-18,36,4
2019-01-19,36,4
2019-01-20,46,5
2019-01-21,45,5
2019-01-22,43,4
2019-01-23,41,4
2019-01-24,38,4
2019-01-25,34,3
2019-01-26,35,4
2019-01-27,44,5
2019-01-28,42,5
2019-01-29,39,5
2019-01-30,35,4
2019-01-31,32,4
2019-02-01,28,3
2019-02-02,32,4
2019-02-03,38,4
2019-02-04,36,4
2019-02-05,38,4
2019-02-06,51,5
2019-02-07,51,7
2019-02-08,47,6
2019-02-09,46,6
2019-02-10,57,8
2019-02-11,53,9
2019-02-12,49,8
2019-02-13,46,7
2019-02-14,41,6
2019-02-15,37,4
2019-02-16,37,4
2019-02-17,50,5
2019-02-18,47,5
2019-02-19,46,5
2019-02-20,44,5
2019-02-21,42,4
2019-02-22,37,4
2019-02-23,37,4
2019-02-24,50,5
2019-02-25,47,5
2019-02-26,44,5
2019-02-27,42,4
2019-02-28,36,4
2019-03-01,42,4
2019-03-02,43,4
2019-03-03,53,5
2019-03-04,45,5
2019-03-05,44,4
2019-03-06,42,4
2019-03-07,41,4
2019-03-08,39,4
2019-03-09,38,4
2019-03-10,52,5
2019-03-11,48,5
2019-03-12,42,4
2019-03-13,41,4
2019-03-14,37,4
2019-03-15,36,4
2019-03-16,37,4
2019-03-17,49,5
2019-03-18,47,5
2019-03-19,46,5
2019-03-20,45,4
2019-03-21,41,4
2019-03-22,36,3
2019-03-23,40,4
2019-03-24,49,5
2019-03-25,49,5
2019-03-26,46,5
2019-03-27,46,4
2019-03-28,41,4
2019-03-29,36,3
2019-03-30,38,3
2019-03-31,47,4
2019-04-01,47,5
2019-04-02,45,4
2019-04-03,43,4
2019-04-04,40,4
2019-04-05,35,3
2019-04-06,37,4
2019-04-07,48,5
2019-04-08,46,5
2019-04-09,49,5
2019-04-10,45,4
2019-04-11,44,4
2019-04-12,37,3
2019-04-13,35,4
2019-04-14,50,5
2019-04-15,48,5
2019-04-16,48,5
2019-04-17,46,5
2019-04-18,46,5
2019-04-19,39,4
2019-04-20,42,4
2019-04-21,55,5
2019-04-22,56,6
2019-04-23,56,6
2019-04-24,54,6
2019-04-25,51,6
2019-04-26,42,4
2019-04-27,38,4
2019-04-28,49,6
2019-04-29,49,6
2019-04-30,44,5
2019-05-01,53,6
2019-05-02,50,6
2019-05-03,42,5
2019-05-04,42,5
2019-05-05,46,6
2019-05-06,56,7
2019-05-07,52,7
2019-05-08,50,6
2019-05-09,49,5
2019-05-10,43,5
2019-05-11,46,5
2019-05-12,63,7
2019-05-13,63,7
