날짜,여성언더웨어/잠옷,남성언더웨어/잠옷
2019-05-14,62,7
2019-05-15,64,7
2019-05-16,64,7
2019-05-17,56,6
2019-05-18,53,6
2019-05-19,70,8
2019-05-20,66,8
2019-05-21,62,7
2019-05-22,62,7
2019-05-23,58,6
2019-05-24,56,6
2019-05-25,56,6
2019-05-26,75,8
2019-05-27,74,8
2019-05-28,68,7
2019-05-29,64,7
2019-05-30,59,6
2019-05-31,49,5
2019-06-01,52,6
2019-06-02,69,8
2019-06-03,70,8
2019-06-04,68,7
2019-06-05,62,7
2019-06-06,71,8
2019-06-07,59,6
2019-06-08,58,6
2019-06-09,75,8
2019-06-10,70,8
2019-06-11,69,7
2019-06-12,69,7
2019-06-13,64,7
2019-06-14,57,6
2019-06-15,57,6
2019-06-16,72,8
2019-06-17,71,8
2019-06-18,67,8
2019-06-19,70,7
2019-06-20,63,7
2019-06-21,58,6
2019-06-22,57,6
2019-06-23,70,7
2019-06-24,74,8
2019-06-25,72,8
2019-06-26,71,8
2019-06-27,67,7
2019-06-28,58,7
2019-06-29,62,6
2019-06-30,77,8
2019-07-01,81,9
2019-07-02,78,9
2019-07-03,75,8
2019-07-04,71,8
2019-07-05,64,7
2019-07-06,61,7
2019-07-07,80,8
2019-07-08,79,9
2019-07-09,75,8
2019-07-10,74,8
2019-07-11,68,7
2019-07-12,63,6
2019-07-13,65,8
2019-07-14,85,11
2019-07-15,86,9
2019-07-16,84,9
2019-07-17,82,9
2019-07-18,80,9
2019-07-19,73,8
2019-07-20,71,8
2019-07-21,92,10
2019-07-22,95,10
2019-07-23,100,10
2019-07-24,93,10
2019-07-25,85,9
2019-07-26,71,8
2019-07-27,73,8
2019-07-28,90,10
2019-07-29,90,10
2019-07-30,84,10
2019-07-31,83,9
2019-08-01,84,9
2019-08-02,74,8
2019-08-03,73,8
2019-08-04,91,10
2019-08-05,90,10
2019-08-06,88,10
2019-08-07,86,9
2019-08-08,81,9
2019-08-09,68,8
2019-08-10,69,8
2019-08-11,85,10
2019-08-12,82,9
2019-08-13,79,9
2019-08-14,72,8
2019-08-15,77,9
2019-08-16,64,8
2019-08-17,64,7
2019-08-18,72,8
2019-08-19,72,8
2019-08-20,68,8
2019-08-21,68,7
2019-08-22,59,7
2019-08-23,53,6
2019-08-24,52,6
2019-08-25,64,7
2019-08-26,63,8
2019-08-27,65,7
2019-08-28,62,7
2019-08-29,57,6
2019-08-30,47,5
2019-08-31,47,5
2019-09-01,65,7
2019-09-02,61,7
2019-09-03,61,7
2019-09-04,59,6
2019-09-05,53,6
2019-09-06,49,5
2019-09-07,53,6
2019-09-08,63,7
2019-09-09,54,6
2019-09-10,46,5
2019-09-11,38,4
2019-09-12,41,4
2019-09-13,42,4
2019-09-14,52,5
2019-09-15,69,8
2019-09-16,72,8
2019-09-17,65,7
2019-09-18,62,7
2019-09-19,58,6
2019-09-20,49,5
2019-09-21,51,6
2019-09-22,69,8
2019-09-23,64,8
2019-09-24,62,7
2019-09-25,59,7
2019-09-26,54,6
2019-09-27,47,5
2019-09-28,47,5
2019-09-29,62,6
2019-09-30,62,7
2019-10-01,61,7
2019-10-02,56,6
2019-10-03,60,6
2019-10-04,54,6
2019-10-05,52,5
2019-10-06,66,7
2019-10-07,67,7
2019-10-08,56,6
2019-10-09,66,7
2019-10-10,62,7
2019-10-11,51,6
2019-10-12,51,6
2019-10-13,65,7
2019-10-14,65,7
2019-10-15,62,7
2019-10-16,61,7
2019-10-17,59,6
2019-10-18,54,7
2019-10-19,51,6
2019-10-20,64,7
2019-10-21,64,8
2019-10-22,61,7
2019-10-23,59,6
2019-10-24,53,6
2019-10-25,44,5
2019-10-26,47,6
2019-10-27,62,8
2019-10-28,68,9
2019-10-29,62,7
2019-10-30,58,8
2019-10-31,53,6
2019-11-01,49,6
2019-11-02,52,6
2019-11-03,68,8
2019-11-04,67,8
2019-11-05,62,8
2019-11-06,61,7
2019-11-07,58,7
2019-11-08,54,7
2019-11-09,51,7
2019-11-10,69,9
2019-11-11,68,9
2019-11-12,65,8
2019-11-13,68,8
2019-11-14,63,9
2019-11-15,58,8
2019-11-16,53,7
2019-11-17,73,9
2019-11-18,74,10
2019-11-19,73,11
2019-11-20,68,11
2019-11-21,61,9
2019-11-22,51,7
2019-11-23,50,7
2019-11-24,66,8
2019-11-25,67,9
2019-11-26,66,9
2019-11-27,65,9
2019-11-28,62,9
2019-11-29,51,7
2019-11-30,53,7
2019-12-01,81,11
2019-12-02,79,12
2019-12-03,80,12
2019-12-04,76,11
2019-12-05,74,11
2019-12-06,65,10
2019-12-07,64,10
2019-12-08,85,12
2019-12-09,86,13
2019-12-10,81,11
2019-12-11,79,10
2019-12-12,72,10
2019-12-13,62,9
2019-12-14,60,8
2019-12-15,81,10
2019-12-16,84,11
2019-12-17,82,11
2019-12-18,73,10
2019-12-19,64,10
2019-12-20,54,8
2019-12-21,49,7
2019-12-22,65,9
2019-12-23,60,9
2019-12-24,42,6
2019-12-25,49,7
2019-12-26,54,8
2019-12-27,48,6
2019-12-28,46,5
2019-12-29,60,7
2019-12-30,51,6
2019-12-31,41,5
2020-01-01,52,7
