날짜,건강식품,다이어트식품
2019-04-15,65,17
2019-04-16,62,15
2019-04-17,69,22
2019-04-18,73,18
2019-04-19,63,13
2019-04-20,60,14
2019-04-21,71,16
2019-04-22,74,14
2019-04-23,72,14
2019-04-24,76,20
2019-04-25,69,16
2019-04-26,69,14
2019-04-27,66,14
2019-04-28,71,19
2019-04-29,80,14
2019-04-30,72,12
2019-05-01,80,14
2019-05-02,76,13
2019-05-03,65,12
2019-05-04,61,22
2019-05-05,62,11
2019-05-06,78,17
2019-05-07,74,14
2019-05-08,82,14
2019-05-09,77,13
2019-05-10,69,13
2019-05-11,72,12
2019-05-12,73,17
2019-05-13,80,17
2019-05-14,84,14
2019-05-15,75,17
2019-05-16,76,13
2019-05-17,72,11
2019-05-18,61,16
2019-05-19,64,14
2019-05-20,63,14
2019-05-21,64,13
2019-05-22,66,15
2019-05-23,63,12
2019-05-24,56,12
2019-05-25,53,12
2019-05-26,58,12
2019-05-27,67,15
2019-05-28,64,21
2019-05-29,66,24
2019-05-30,65,15
2019-05-31,59,11
2019-06-01,57,18
2019-06-02,61,14
2019-06-03,67,17
2019-06-04,79,16
2019-06-05,63,18
2019-06-06,58,21
2019-06-07,58,13
2019-06-08,59,20
2019-06-09,66,17
2019-06-10,75,15
2019-06-11,77,19
2019-06-12,75,17
2019-06-13,70,15
2019-06-14,63,13
2019-06-15,59,12
2019-06-16,65,13
2019-06-17,73,18
2019-06-18,74,16
2019-06-19,72,21
2019-06-20,71,16
2019-06-21,61,14
2019-06-22,58,12
2019-06-23,57,21
2019-06-24,70,16
2019-06-25,74,15
2019-06-26,67,15
2019-06-27,61,15
2019-06-28,54,12
2019-06-29,54,17
2019-06-30,66,17
2019-07-01,72,15
2019-07-02,69,15
2019-07-03,68,16
2019-07-04,61,14
2019-07-05,53,14
2019-07-06,52,12
2019-07-07,55,18
2019-07-08,63,16
2019-07-09,72,15
2019-07-10,65,14
2019-07-11,64,14
2019-07-12,57,11
2019-07-13,55,17
2019-07-14,59,15
2019-07-15,71,14
2019-07-16,66,15
2019-07-17,64,14
2019-07-18,63,13
2019-07-19,53,13
2019-07-20,57,20
2019-07-21,56,15
2019-07-22,63,15
2019-07-23,60,18
2019-07-24,60,14
2019-07-25,56,15
2019-07-26,49,11
2019-07-27,51,10
2019-07-28,51,13
2019-07-29,56,13
2019-07-30,53,12
2019-07-31,53,12
2019-08-01,56,13
2019-08-02,47,11
2019-08-03,48,11
2019-08-04,56,12
2019-08-05,59,12
2019-08-06,63,13
2019-08-07,65,15
2019-08-08,62,13
2019-08-09,53,12
2019-08-10,58,15
2019-08-11,57,15
2019-08-12,68,16
2019-08-13,65,15
2019-08-14,60,16
2019-08-15,61,14
2019-08-16,56,12
2019-08-17,59,17
2019-08-18,59,18
2019-08-19,74,18
2019-08-20,76,16
2019-08-21,78,16
2019-08-22,73,16
2019-08-23,68,13
2019-08-24,66,20
2019-08-25,68,18
2019-08-26,90,17
2019-08-27,89,16
2019-08-28,89,15
2019-08-29,80,17
2019-08-30,78,18
2019-08-31,75,14
2019-09-01,88,16
2019-09-02,98,15
2019-09-03,100,17
2019-09-04,100,17
2019-09-05,95,15
2019-09-06,77,15
2019-09-07,80,16
2019-09-08,75,18
2019-09-09,81,16
2019-09-10,69,12
2019-09-11,60,11
2019-09-12,46,8
2019-09-13,48,8
2019-09-14,72,15
2019-09-15,82,16
2019-09-16,99,20
2019-09-17,91,19
2019-09-18,85,20
2019-09-19,80,16
2019-09-20,67,14
2019-09-21,63,14
2019-09-22,72,17
2019-09-23,78,16
2019-09-24,76,15
2019-09-25,78,14
2019-09-26,74,15
2019-09-27,66,15
2019-09-28,65,14
2019-09-29,68,13
2019-09-30,80,20
2019-10-01,78,17
2019-10-02,76,15
2019-10-03,66,18
2019-10-04,65,13
2019-10-05,63,18
2019-10-06,69,14
2019-10-07,79,15
2019-10-08,65,13
2019-10-09,74,20
2019-10-10,68,18
2019-10-11,65,15
2019-10-12,63,18
2019-10-13,71,14
2019-10-14,83,14
2019-10-15,67,14
2019-10-16,73,14
2019-10-17,68,15
2019-10-18,61,13
2019-10-19,62,14
2019-10-20,66,14
2019-10-21,80,17
2019-10-22,78,14
2019-10-23,74,17
2019-10-24,73,14
2019-10-25,64,11
2019-10-26,66,12
2019-10-27,67,13
2019-10-28,76,16
2019-10-29,73,16
2019-10-30,67,16
2019-10-31,66,13
2019-11-01,65,12
2019-11-02,61,13
2019-11-03,68,13
2019-11-04,76,19
2019-11-05,82,14
2019-11-06,74,14
2019-11-07,69,13
2019-11-08,58,13
2019-11-09,60,13
2019-11-10,66,15
2019-11-11,71,17
2019-11-12,72,17
2019-11-13,73,15
2019-11-14,62,13
2019-11-15,59,13
2019-11-16,58,12
2019-11-17,67,21
2019-11-18,71,16
2019-11-19,70,14
2019-11-20,68,13
2019-11-21,65,15
2019-11-22,59,15
2019-11-23,56,16
2019-11-24,63,19
2019-11-25,71,18
2019-11-26,76,16
2019-11-27,75,18
2019-11-28,69,14
2019-11-29,62,12
2019-11-30,59,17
2019-12-01,74,15
2019-12-02,79,16
2019-12-03,74,15
2019-12-04,70,17
2019-12-05,71,14
2019-12-06,62,14
2019-12-07,61,12
2019-12-08,72,16
2019-12-09,74,15
2019-12-10,74,15
2019-12-11,78,13
2019-12-12,70,14
2019-12-13,64,12
2019-12-14,63,16
2019-12-15,69,15
2019-12-16,71,15
2019-12-17,81,16
2019-12-18,73,14
2019-12-19,68,14
2019-12-20,60,11
2019-12-21,59,14
2019-12-22,64,13
2019-12-23,70,16
2019-12-24,55,12
2019-12-25,63,12
2019-12-26,73,13
2019-12-27,69,17
2019-12-28,64,14
2019-12-29,73,14
2019-12-30,70,13
2019-12-31,57,12
2020-01-01,77,17
