날짜,건강식품,다이어트식품
2019-01-01,43,10
2019-01-02,50,11
2019-01-03,46,11
2019-01-04,45,9
2019-01-05,50,10
2019-01-06,52,11
2019-01-07,53,12
2019-01-08,51,13
2019-01-09,54,11
2019-01-10,52,11
2019-01-11,48,10
2019-01-12,44,9
2019-01-13,48,13
2019-01-14,57,12
2019-01-15,56,11
2019-01-16,60,11
2019-01-17,56,11
2019-01-18,55,10
2019-01-19,55,10
2019-01-20,63,11
2019-01-21,68,12
2019-01-22,75,12
2019-01-23,72,11
2019-01-24,65,11
2019-01-25,60,10
2019-01-26,64,12
2019-01-27,66,11
2019-01-28,77,12
2019-01-29,69,11
2019-01-30,61,13
2019-01-31,52,9
2019-02-01,48,8
2019-02-02,42,10
2019-02-03,41,8
2019-02-04,33,7
2019-02-05,42,8
2019-02-06,58,11
2019-02-07,65,16
2019-02-08,59,14
2019-02-09,58,15
2019-02-10,67,15
2019-02-11,64,16
2019-02-12,69,14
2019-02-13,59,13
2019-02-14,52,11
2019-02-15,49,13
2019-02-16,53,11
2019-02-17,55,16
2019-02-18,59,13
2019-02-19,65,14
2019-02-20,61,13
2019-02-21,51,12
2019-02-22,49,11
2019-02-23,51,11
2019-02-24,61,12
2019-02-25,64,12
2019-02-26,57,12
2019-02-27,56,12
2019-02-28,50,10
2019-03-01,52,11
2019-03-02,56,11
2019-03-03,54,10
2019-03-04,60,11
2019-03-05,57,11
2019-03-06,60,11
2019-03-07,56,11
2019-03-08,53,11
2019-03-09,53,12
2019-03-10,58,13
2019-03-11,56,14
2019-03-12,57,12
2019-03-13,55,14
2019-03-14,54,12
2019-03-15,50,10
2019-03-16,53,11
2019-03-17,59,12
2019-03-18,63,15
2019-03-19,63,14
2019-03-20,70,14
2019-03-21,64,14
2019-03-22,62,12
2019-03-23,61,12
2019-03-24,61,15
2019-03-25,68,16
2019-03-26,70,14
2019-03-27,73,15
2019-03-28,64,13
2019-03-29,56,12
2019-03-30,60,13
2019-03-31,62,17
2019-04-01,72,14
2019-04-02,65,15
2019-04-03,61,13
2019-04-04,58,13
2019-04-05,52,10
2019-04-06,52,12
2019-04-07,55,17
2019-04-08,63,13
2019-04-09,58,13
2019-04-10,58,14
2019-04-11,64,12
2019-04-12,54,10
2019-04-13,56,14
2019-04-14,69,14
