날짜,가구/인테리어
2019-01-01,69
2019-01-02,67
2019-01-03,64
2019-01-04,59
2019-01-05,68
2019-01-06,79
2019-01-07,72
2019-01-08,68
2019-01-09,68
2019-01-10,62
2019-01-11,55
2019-01-12,62
2019-01-13,73
2019-01-14,68
2019-01-15,64
2019-01-16,65
2019-01-17,63
2019-01-18,57
2019-01-19,67
2019-01-20,79
2019-01-21,72
2019-01-22,71
2019-01-23,72
2019-01-24,64
2019-01-25,59
2019-01-26,66
2019-01-27,77
2019-01-28,71
2019-01-29,62
2019-01-30,58
2019-01-31,53
2019-02-01,46
2019-02-02,54
2019-02-03,57
2019-02-04,48
2019-02-05,47
2019-02-06,73
2019-02-07,75
2019-02-08,70
2019-02-09,79
2019-02-10,91
2019-02-11,77
2019-02-12,72
2019-02-13,73
2019-02-14,68
2019-02-15,66
2019-02-16,75
2019-02-17,88
2019-02-18,80
2019-02-19,76
2019-02-20,70
2019-02-21,69
2019-02-22,65
2019-02-23,72
2019-02-24,89
2019-02-25,79
2019-02-26,72
2019-02-27,71
2019-02-28,62
2019-03-01,73
2019-03-02,80
2019-03-03,86
2019-03-04,66
2019-03-05,63
2019-03-06,61
2019-03-07,62
2019-03-08,58
2019-03-09,65
2019-03-10,81
2019-03-11,69
2019-03-12,63
2019-03-13,62
2019-03-14,59
2019-03-15,55
2019-03-16,65
2019-03-17,74
2019-03-18,69
2019-03-19,63
2019-03-20,61
2019-03-21,58
2019-03-22,56
2019-03-23,61
2019-03-24,73
2019-03-25,69
2019-03-26,61
2019-03-27,59
2019-03-28,55
2019-03-29,49
2019-03-30,58
2019-03-31,67
2019-04-01,61
2019-04-02,59
2019-04-03,56
2019-04-04,54
2019-04-05,49
2019-04-06,55
2019-04-07,63
2019-04-08,61
2019-04-09,57
2019-04-10,55
2019-04-11,53
2019-04-12,48
2019-04-13,51
2019-04-14,66
2019-04-15,59
2019-04-16,55
2019-04-17,52
2019-04-18,53
2019-04-19,47
2019-04-20,51
2019-04-21,61
2019-04-22,58
2019-04-23,56
2019-04-24,56
2019-04-25,56
2019-04-26,50
2019-04-27,51
2019-04-28,63
2019-04-29,61
2019-04-30,52
2019-05-01,58
2019-05-02,53
2019-05-03,46
2019-05-04,49
2019-05-05,52
2019-05-06,63
2019-05-07,58
2019-05-08,53
2019-05-09,54
2019-05-10,49
2019-05-11,53
2019-05-12,62
2019-05-13,61
2019-05-14,58
2019-05-15,58
2019-05-16,58
2019-05-17,53
2019-05-18,57
2019-05-19,70
2019-05-20,65
2019-05-21,61
2019-05-22,59
2019-05-23,58
2019-05-24,54
2019-05-25,58
2019-05-26,71
2019-05-27,70
2019-05-28,62
2019-05-29,60
2019-05-30,57
2019-05-31,50
2019-06-01,58
2019-06-02,68
2019-06-03,66
2019-06-04,63
2019-06-05,58
2019-06-06,71
2019-06-07,62
2019-06-08,66
2019-06-09,77
2019-06-10,68
2019-06-11,66
2019-06-12,64
2019-06-13,61
2019-06-14,55
2019-06-15,61
2019-06-16,72
2019-06-17,71
2019-06-18,68
2019-06-19,65
2019-06-20,62
2019-06-21,56
2019-06-22,61
2019-06-23,70
2019-06-24,69
2019-06-25,63
2019-06-26,64
2019-06-27,60
2019-06-28,55
2019-06-29,63
2019-06-30,73
2019-07-01,68
2019-07-02,66
2019-07-03,63
2019-07-04,61
2019-07-05,56
2019-07-06,61
2019-07-07,71
2019-07-08,68
2019-07-09,64
2019-07-10,64
2019-07-11,60
2019-07-12,55
2019-07-13,67
2019-07-14,79
2019-07-15,75
2019-07-16,68
2019-07-17,66
2019-07-18,66
2019-07-19,59
2019-07-20,68
2019-07-21,78
2019-07-22,72
2019-07-23,69
2019-07-24,68
2019-07-25,64
2019-07-26,61
2019-07-27,65
2019-07-28,75
2019-07-29,69
2019-07-30,67
2019-07-31,64
2019-08-01,64
2019-08-02,59
2019-08-03,64
2019-08-04,72
2019-08-05,67
2019-08-06,67
2019-08-07,66
2019-08-08,65
2019-08-09,60
2019-08-10,66
2019-08-11,77
2019-08-12,72
2019-08-13,73
2019-08-14,68
2019-08-15,82
2019-08-16,70
2019-08-17,77
2019-08-18,84
2019-08-19,80
2019-08-20,76
2019-08-21,75
2019-08-22,72
2019-08-23,66
2019-08-24,72
2019-08-25,85
2019-08-26,81
2019-08-27,79
2019-08-28,77
2019-08-29,77
2019-08-30,68
2019-08-31,75
2019-09-01,90
2019-09-02,82
2019-09-03,79
2019-09-04,76
2019-09-05,72
2019-09-06,63
2019-09-07,76
2019-09-08,84
2019-09-09,72
2019-09-10,63
2019-09-11,53
2019-09-12,50
2019-09-13,53
2019-09-14,74
2019-09-15,95
2019-09-16,90
2019-09-17,84
2019-09-18,82
2019-09-19,78
2019-09-20,71
2019-09-21,82
2019-09-22,99
2019-09-23,87
2019-09-24,82
2019-09-25,77
2019-09-26,75
2019-09-27,68
2019-09-28,74
2019-09-29,87
2019-09-30,81
2019-10-01,79
2019-10-02,77
2019-10-03,87
2019-10-04,75
2019-10-05,81
2019-10-06,94
2019-10-07,92
2019-10-08,77
2019-10-09,95
2019-10-10,83
2019-10-11,73
2019-10-12,79
2019-10-13,91
2019-10-14,83
2019-10-15,79
2019-10-16,77
2019-10-17,73
2019-10-18,69
2019-10-19,74
2019-10-20,89
2019-10-21,88
2019-10-22,82
2019-10-23,79
2019-10-24,74
2019-10-25,66
2019-10-26,73
2019-10-27,88
2019-10-28,86
2019-10-29,80
2019-10-30,77
2019-10-31,70
2019-11-01,67
2019-11-02,76
2019-11-03,92
2019-11-04,89
2019-11-05,83
2019-11-06,82
2019-11-07,80
2019-11-08,72
2019-11-09,80
2019-11-10,94
2019-11-11,88
2019-11-12,83
2019-11-13,84
2019-11-14,77
2019-11-15,72
2019-11-16,77
2019-11-17,100
2019-11-18,90
2019-11-19,86
2019-11-20,80
2019-11-21,76
2019-11-22,68
2019-11-23,74
2019-11-24,91
2019-11-25,86
2019-11-26,83
2019-11-27,83
2019-11-28,79
2019-11-29,69
2019-11-30,77
2019-12-01,100
2019-12-02,88
2019-12-03,87
2019-12-04,83
2019-12-05,81
2019-12-06,74
2019-12-07,79
2019-12-08,94
2019-12-09,88
2019-12-10,81
2019-12-11,82
2019-12-12,78
2019-12-13,71
2019-12-14,80
2019-12-15,93
2019-12-16,86
2019-12-17,81
2019-12-18,71
2019-12-19,67
2019-12-20,60
2019-12-21,66
2019-12-22,78
2019-12-23,70
2019-12-24,57
2019-12-25,72
2019-12-26,67
2019-12-27,60
2019-12-28,69
2019-12-29,81
2019-12-30,70
2019-12-31,58
2020-01-01,83
