날짜,여성의류,남성의류
2019-01-01,49,9
2019-01-02,45,9
2019-01-03,45,8
2019-01-04,44,7
2019-01-05,52,8
2019-01-06,56,10
2019-01-07,47,8
2019-01-08,47,8
2019-01-09,48,8
2019-01-10,43,7
2019-01-11,36,6
2019-01-12,42,6
2019-01-13,47,8
2019-01-14,40,7
2019-01-15,39,6
2019-01-16,41,6
2019-01-17,40,6
2019-01-18,38,6
2019-01-19,45,6
2019-01-20,50,8
2019-01-21,42,7
2019-01-22,43,7
2019-01-23,43,6
2019-01-24,41,6
2019-01-25,39,5
2019-01-26,45,6
2019-01-27,50,7
2019-01-28,41,6
2019-01-29,39,6
2019-01-30,37,5
2019-01-31,34,5
2019-02-01,31,4
2019-02-02,37,5
2019-02-03,39,5
2019-02-04,29,5
2019-02-05,28,5
2019-02-06,40,7
2019-02-07,39,7
2019-02-08,40,6
2019-02-09,49,7
2019-02-10,55,9
2019-02-11,42,7
2019-02-12,40,6
2019-02-13,41,6
2019-02-14,40,6
2019-02-15,39,6
2019-02-16,46,7
2019-02-17,53,8
2019-02-18,42,7
2019-02-19,42,6
2019-02-20,42,6
2019-02-21,41,6
2019-02-22,40,6
2019-02-23,49,7
2019-02-24,56,9
2019-02-25,46,7
2019-02-26,45,7
2019-02-27,45,7
2019-02-28,41,6
2019-03-01,50,8
2019-03-02,55,8
2019-03-03,57,9
2019-03-04,41,7
2019-03-05,41,7
2019-03-06,43,8
2019-03-07,43,7
2019-03-08,42,7
2019-03-09,52,8
2019-03-10,59,11
2019-03-11,45,8
2019-03-12,44,7
2019-03-13,42,7
2019-03-14,40,6
2019-03-15,40,6
2019-03-16,48,8
2019-03-17,54,9
2019-03-18,44,8
2019-03-19,44,7
2019-03-20,45,8
2019-03-21,43,7
2019-03-22,39,6
2019-03-23,47,8
2019-03-24,51,9
2019-03-25,43,8
2019-03-26,43,7
2019-03-27,43,7
2019-03-28,40,6
2019-03-29,37,5
2019-03-30,46,7
2019-03-31,48,9
2019-04-01,39,7
2019-04-02,40,7
2019-04-03,40,7
2019-04-04,39,6
2019-04-05,37,5
2019-04-06,45,7
2019-04-07,50,9
2019-04-08,43,7
2019-04-09,42,7
2019-04-10,40,6
2019-04-11,39,6
2019-04-12,37,5
2019-04-13,42,6
2019-04-14,50,8
2019-04-15,40,7
2019-04-16,40,7
2019-04-17,41,7
2019-04-18,41,6
2019-04-19,36,5
2019-04-20,43,7
2019-04-21,47,8
2019-04-22,41,8
2019-04-23,42,7
2019-04-24,41,7
2019-04-25,40,6
2019-04-26,35,5
2019-04-27,40,6
2019-04-28,45,8
2019-04-29,38,7
2019-04-30,35,5
2019-05-01,43,7
2019-05-02,37,6
2019-05-03,34,5
2019-05-04,38,6
2019-05-05,38,7
2019-05-06,42,8
2019-05-07,37,7
2019-05-08,36,6
2019-05-09,38,6
2019-05-10,36,5
2019-05-11,42,7
2019-05-12,48,8
2019-05-13,41,7
2019-05-14,44,7
2019-05-15,46,7
2019-05-16,47,7
2019-05-17,43,6
2019-05-18,48,7
2019-05-19,52,8
2019-05-20,43,7
2019-05-21,44,6
2019-05-22,44,6
2019-05-23,45,6
2019-05-24,43,5
2019-05-25,48,6
2019-05-26,54,8
2019-05-27,45,6
2019-05-28,44,6
2019-05-29,47,6
2019-05-30,45,5
2019-05-31,40,4
2019-06-01,47,6
2019-06-02,52,7
2019-06-03,45,6
2019-06-04,47,6
2019-06-05,45,5
2019-06-06,55,6
2019-06-07,43,5
2019-06-08,48,6
2019-06-09,55,7
2019-06-10,46,6
2019-06-11,47,6
2019-06-12,48,5
2019-06-13,47,5
2019-06-14,42,4
2019-06-15,50,5
2019-06-16,53,6
2019-06-17,46,6
2019-06-18,48,6
2019-06-19,47,5
2019-06-20,46,5
2019-06-21,44,4
2019-06-22,48,5
2019-06-23,53,6
2019-06-24,47,6
2019-06-25,48,5
2019-06-26,49,5
2019-06-27,44,5
2019-06-28,42,4
2019-06-29,50,5
2019-06-30,54,6
2019-07-01,46,5
2019-07-02,48,6
2019-07-03,48,5
2019-07-04,48,5
2019-07-05,44,4
2019-07-06,50,5
2019-07-07,55,6
2019-07-08,49,5
2019-07-09,49,5
2019-07-10,49,5
2019-07-11,45,5
2019-07-12,44,4
2019-07-13,57,5
2019-07-14,63,7
2019-07-15,54,6
2019-07-16,52,5
2019-07-17,53,5
2019-07-18,52,5
2019-07-19,49,5
2019-07-20,57,5
2019-07-21,61,6
2019-07-22,51,6
