날짜,생활용품
2019-01-01,48
2019-01-02,51
2019-01-03,50
2019-01-04,41
2019-01-05,39
2019-01-06,45
2019-01-07,51
2019-01-08,48
2019-01-09,46
2019-01-10,44
2019-01-11,40
2019-01-12,38
2019-01-13,46
2019-01-14,52
2019-01-15,50
2019-01-16,49
2019-01-17,49
2019-01-18,43
2019-01-19,44
2019-01-20,53
2019-01-21,89
2019-01-22,77
2019-01-23,63
2019-01-24,55
2019-01-25,47
2019-01-26,46
2019-01-27,51
2019-01-28,58
2019-01-29,54
2019-01-30,46
2019-01-31,41
2019-02-01,35
2019-02-02,34
2019-02-03,34
2019-02-04,28
2019-02-05,32
2019-02-06,51
2019-02-07,64
2019-02-08,54
2019-02-09,52
2019-02-10,59
2019-02-11,59
2019-02-12,60
2019-02-13,55
2019-02-14,51
2019-02-15,44
2019-02-16,44
2019-02-17,51
2019-02-18,54
2019-02-19,54
2019-02-20,50
2019-02-21,50
2019-02-22,45
2019-02-23,44
2019-02-24,51
2019-02-25,57
2019-02-26,55
2019-02-27,51
2019-02-28,44
2019-03-01,48
2019-03-02,50
2019-03-03,57
2019-03-04,59
2019-03-05,65
2019-03-06,59
2019-03-07,54
2019-03-08,46
2019-03-09,47
2019-03-10,56
2019-03-11,58
2019-03-12,54
2019-03-13,53
2019-03-14,48
2019-03-15,43
2019-03-16,44
2019-03-17,52
2019-03-18,59
2019-03-19,55
2019-03-20,52
2019-03-21,50
2019-03-22,44
2019-03-23,45
2019-03-24,59
2019-03-25,59
2019-03-26,56
2019-03-27,51
2019-03-28,47
2019-03-29,40
2019-03-30,43
2019-03-31,52
2019-04-01,60
2019-04-02,57
2019-04-03,51
2019-04-04,49
2019-04-05,42
2019-04-06,44
2019-04-07,52
2019-04-08,55
2019-04-09,54
2019-04-10,51
2019-04-11,49
2019-04-12,41
2019-04-13,41
2019-04-14,52
2019-04-15,55
2019-04-16,54
2019-04-17,54
2019-04-18,51
2019-04-19,43
2019-04-20,45
2019-04-21,54
2019-04-22,59
2019-04-23,58
2019-04-24,57
2019-04-25,55
2019-04-26,47
2019-04-27,43
2019-04-28,55
2019-04-29,59
2019-04-30,53
2019-05-01,60
2019-05-02,55
2019-05-03,45
2019-05-04,44
2019-05-05,46
2019-05-06,62
2019-05-07,65
2019-05-08,57
2019-05-09,58
2019-05-10,50
2019-05-11,51
2019-05-12,60
2019-05-13,68
2019-05-14,67
2019-05-15,66
2019-05-16,67
2019-05-17,58
2019-05-18,59
2019-05-19,70
2019-05-20,78
2019-05-21,69
2019-05-22,68
2019-05-23,67
2019-05-24,59
2019-05-25,60
2019-05-26,72
2019-05-27,82
2019-05-28,72
2019-05-29,70
2019-05-30,68
2019-05-31,56
2019-06-01,58
2019-06-02,72
2019-06-03,82
2019-06-04,80
2019-06-05,69
2019-06-06,72
2019-06-07,69
2019-06-08,65
2019-06-09,76
2019-06-10,83
2019-06-11,79
2019-06-12,79
2019-06-13,76
2019-06-14,66
2019-06-15,70
2019-06-16,79
2019-06-17,89
2019-06-18,87
2019-06-19,82
2019-06-20,76
2019-06-21,69
2019-06-22,66
2019-06-23,77
2019-06-24,93
2019-06-25,86
2019-06-26,84
2019-06-27,76
2019-06-28,72
2019-06-29,69
2019-06-30,89
2019-07-01,98
2019-07-02,91
2019-07-03,87
2019-07-04,82
2019-07-05,72
2019-07-06,67
2019-07-07,81
2019-07-08,90
2019-07-09,83
2019-07-10,75
2019-07-11,74
2019-07-12,65
2019-07-13,65
2019-07-14,79
2019-07-15,89
2019-07-16,85
2019-07-17,83
2019-07-18,79
2019-07-19,69
2019-07-20,69
2019-07-21,83
2019-07-22,90
2019-07-23,88
2019-07-24,86
2019-07-25,78
2019-07-26,69
2019-07-27,68
2019-07-28,77
2019-07-29,85
2019-07-30,80
2019-07-31,77
2019-08-01,82
2019-08-02,69
2019-08-03,64
2019-08-04,80
2019-08-05,86
2019-08-06,83
2019-08-07,83
2019-08-08,80
2019-08-09,69
2019-08-10,66
2019-08-11,76
2019-08-12,86
2019-08-13,82
2019-08-14,76
2019-08-15,79
2019-08-16,72
2019-08-17,69
2019-08-18,80
2019-08-19,87
2019-08-20,83
2019-08-21,81
2019-08-22,77
2019-08-23,67
2019-08-24,64
2019-08-25,76
2019-08-26,87
2019-08-27,87
2019-08-28,82
2019-08-29,78
2019-08-30,69
2019-08-31,67
2019-09-01,87
2019-09-02,91
2019-09-03,89
2019-09-04,81
2019-09-05,77
2019-09-06,67
2019-09-07,64
2019-09-08,75
2019-09-09,69
2019-09-10,59
2019-09-11,48
2019-09-12,40
2019-09-13,41
2019-09-14,63
2019-09-15,87
2019-09-16,100
2019-09-17,92
2019-09-18,83
2019-09-19,77
2019-09-20,65
2019-09-21,62
2019-09-22,77
2019-09-23,85
2019-09-24,76
2019-09-25,75
2019-09-26,70
2019-09-27,62
2019-09-28,58
2019-09-29,73
2019-09-30,81
2019-10-01,84
2019-10-02,72
2019-10-03,76
2019-10-04,69
2019-10-05,67
2019-10-06,78
2019-10-07,81
2019-10-08,70
2019-10-09,78
2019-10-10,74
2019-10-11,63
2019-10-12,63
2019-10-13,72
2019-10-14,79
2019-10-15,75
2019-10-16,73
2019-10-17,67
2019-10-18,61
2019-10-19,60
2019-10-20,74
2019-10-21,79
2019-10-22,75
2019-10-23,73
2019-10-24,67
2019-10-25,58
2019-10-26,56
2019-10-27,70
2019-10-28,76
2019-10-29,73
2019-10-30,69
