날짜,화장품/미용
2019-01-01,70
2019-01-02,71
2019-01-03,69
2019-01-04,66
2019-01-05,72
2019-01-06,78
2019-01-07,73
2019-01-08,75
2019-01-09,71
2019-01-10,69
2019-01-11,64
2019-01-12,71
2019-01-13,78
2019-01-14,71
2019-01-15,72
2019-01-16,74
2019-01-17,77
2019-01-18,69
2019-01-19,70
2019-01-20,77
2019-01-21,77
2019-01-22,80
2019-01-23,82
2019-01-24,74
2019-01-25,69
2019-01-26,74
2019-01-27,78
2019-01-28,82
2019-01-29,76
2019-01-30,73
2019-01-31,64
2019-02-01,55
2019-02-02,59
2019-02-03,58
2019-02-04,51
2019-02-05,57
2019-02-06,83
2019-02-07,92
2019-02-08,84
2019-02-09,91
2019-02-10,92
2019-02-11,90
2019-02-12,86
2019-02-13,84
2019-02-14,83
2019-02-15,73
2019-02-16,78
2019-02-17,81
2019-02-18,78
2019-02-19,79
2019-02-20,76
2019-02-21,74
2019-02-22,68
2019-02-23,76
2019-02-24,82
2019-02-25,75
2019-02-26,73
2019-02-27,74
2019-02-28,65
2019-03-01,79
2019-03-02,73
2019-03-03,73
2019-03-04,70
2019-03-05,73
2019-03-06,70
2019-03-07,68
2019-03-08,68
2019-03-09,73
2019-03-10,80
2019-03-11,73
2019-03-12,71
2019-03-13,74
2019-03-14,70
2019-03-15,64
2019-03-16,69
2019-03-17,75
2019-03-18,76
2019-03-19,72
2019-03-20,72
2019-03-21,70
2019-03-22,67
2019-03-23,72
2019-03-24,73
2019-03-25,76
2019-03-26,75
2019-03-27,71
2019-03-28,64
2019-03-29,58
2019-03-30,66
2019-03-31,76
2019-04-01,76
2019-04-02,75
2019-04-03,72
2019-04-04,68
2019-04-05,62
2019-04-06,66
2019-04-07,75
2019-04-08,71
2019-04-09,75
2019-04-10,69
2019-04-11,68
2019-04-12,61
2019-04-13,61
2019-04-14,72
2019-04-15,72
2019-04-16,69
2019-04-17,70
2019-04-18,67
2019-04-19,60
2019-04-20,62
2019-04-21,71
2019-04-22,69
2019-04-23,71
2019-04-24,65
2019-04-25,65
2019-04-26,59
2019-04-27,60
2019-04-28,67
2019-04-29,69
2019-04-30,65
2019-05-01,74
2019-05-02,66
2019-05-03,59
2019-05-04,59
2019-05-05,61
2019-05-06,76
2019-05-07,75
2019-05-08,75
2019-05-09,73
2019-05-10,67
2019-05-11,70
2019-05-12,75
2019-05-13,79
2019-05-14,76
2019-05-15,82
2019-05-16,76
2019-05-17,67
2019-05-18,67
2019-05-19,75
2019-05-20,78
2019-05-21,78
2019-05-22,77
2019-05-23,74
2019-05-24,68
2019-05-25,72
2019-05-26,79
2019-05-27,81
2019-05-28,80
2019-05-29,79
2019-05-30,79
2019-05-31,70
2019-06-01,77
2019-06-02,87
2019-06-03,87
2019-06-04,89
2019-06-05,81
2019-06-06,85
2019-06-07,75
2019-06-08,73
2019-06-09,86
2019-06-10,82
2019-06-11,88
2019-06-12,84
2019-06-13,83
2019-06-14,72
2019-06-15,74
2019-06-16,82
2019-06-17,86
2019-06-18,84
2019-06-19,81
2019-06-20,76
2019-06-21,70
2019-06-22,74
2019-06-23,84
2019-06-24,85
2019-06-25,82
2019-06-26,81
2019-06-27,74
