날짜,생활용품
2019-01-01,50
2019-01-02,59
2019-01-03,54
2019-01-04,46
2019-01-05,41
2019-01-06,49
2019-01-07,56
2019-01-08,55
2019-01-09,53
2019-01-10,47
2019-01-11,39
2019-01-12,34
2019-01-13,41
2019-01-14,50
2019-01-15,46
2019-01-16,46
2019-01-17,46
2019-01-18,40
2019-01-19,37
2019-01-20,48
2019-01-21,100
2019-01-22,81
2019-01-23,60
2019-01-24,50
2019-01-25,44
2019-01-26,40
2019-01-27,46
2019-01-28,55
2019-01-29,50
2019-01-30,43
2019-01-31,37
2019-02-01,31
2019-02-02,30
2019-02-03,30
2019-02-04,28
2019-02-05,30
2019-02-06,46
2019-02-07,58
2019-02-08,48
2019-02-09,46
2019-02-10,54
2019-02-11,58
2019-02-12,54
2019-02-13,51
2019-02-14,46
2019-02-15,40
2019-02-16,38
2019-02-17,47
2019-02-18,52
2019-02-19,50
2019-02-20,47
2019-02-21,47
2019-02-22,41
2019-02-23,37
2019-02-24,47
2019-02-25,54
2019-02-26,50
2019-02-27,47
2019-02-28,41
2019-03-01,44
2019-03-02,45
2019-03-03,55
2019-03-04,58
2019-03-05,59
2019-03-06,55
2019-03-07,51
2019-03-08,42
2019-03-09,40
2019-03-10,51
2019-03-11,54
2019-03-12,50
2019-03-13,48
2019-03-14,44
2019-03-15,39
2019-03-16,38
2019-03-17,48
2019-03-18,55
2019-03-19,52
2019-03-20,51
2019-03-21,48
2019-03-22,41
2019-03-23,38
2019-03-24,50
2019-03-25,56
2019-03-26,52
2019-03-27,50
2019-03-28,46
2019-03-29,38
2019-03-30,37
2019-03-31,47
2019-04-01,58
2019-04-02,56
2019-04-03,51
2019-04-04,47
2019-04-05,39
2019-04-06,37
2019-04-07,47
2019-04-08,55
2019-04-09,52
2019-04-10,50
2019-04-11,49
2019-04-12,40
2019-04-13,36
2019-04-14,48
2019-04-15,55
2019-04-16,53
2019-04-17,55
2019-04-18,55
2019-04-19,43
2019-04-20,42
2019-04-21,53
2019-04-22,61
2019-04-23,59
2019-04-24,57
2019-04-25,55
2019-04-26,45
2019-04-27,39
2019-04-28,52
2019-04-29,59
2019-04-30,52
2019-05-01,59
2019-05-02,56
2019-05-03,45
2019-05-04,42
2019-05-05,45
2019-05-06,61
2019-05-07,66
2019-05-08,58
2019-05-09,57
2019-05-10,48
2019-05-11,46
2019-05-12,59
2019-05-13,68
2019-05-14,65
2019-05-15,65
2019-05-16,65
2019-05-17,56
2019-05-18,51
2019-05-19,66
2019-05-20,75
2019-05-21,66
2019-05-22,64
2019-05-23,61
2019-05-24,54
2019-05-25,53
2019-05-26,66
2019-05-27,78
2019-05-28,68
2019-05-29,67
2019-05-30,64
2019-05-31,52
2019-06-01,52
2019-06-02,67
2019-06-03,79
2019-06-04,75
2019-06-05,65
2019-06-06,65
2019-06-07,61
2019-06-08,56
2019-06-09,70
2019-06-10,79
2019-06-11,77
2019-06-12,73
2019-06-13,70
2019-06-14,62
2019-06-15,58
2019-06-16,71
2019-06-17,84
2019-06-18,79
2019-06-19,74
2019-06-20,70
2019-06-21,62
2019-06-22,54
2019-06-23,69
2019-06-24,86
2019-06-25,81
2019-06-26,78
2019-06-27,69
2019-06-28,65
2019-06-29,58
2019-06-30,78
2019-07-01,92
2019-07-02,85
2019-07-03,81
2019-07-04,76
2019-07-05,65
2019-07-06,58
2019-07-07,71
2019-07-08,83
2019-07-09,77
2019-07-10,73
2019-07-11,70
2019-07-12,60
2019-07-13,56
2019-07-14,71
2019-07-15,81
2019-07-16,79
2019-07-17,78
2019-07-18,73
2019-07-19,62
2019-07-20,57
2019-07-21,73
2019-07-22,85
2019-07-23,83
2019-07-24,80
2019-07-25,72
2019-07-26,63
2019-07-27,57
2019-07-28,68
2019-07-29,78
2019-07-30,74
2019-07-31,71
2019-08-01,76
2019-08-02,62
