날짜,침구단품,침구세트
2019-09-08,65,26
2019-09-09,61,22
2019-09-10,49,18
2019-09-11,40,14
2019-09-12,41,17
2019-09-13,45,18
2019-09-14,60,23
2019-09-15,77,31
2019-09-16,85,30
2019-09-17,80,29
2019-09-18,79,29
2019-09-19,74,28
2019-09-20,64,26
2019-09-21,70,29
2019-09-22,98,41
2019-09-23,97,41
2019-09-24,94,38
2019-09-25,86,35
2019-09-26,73,29
2019-09-27,59,23
2019-09-28,59,27
2019-09-29,72,28
2019-09-30,77,28
2019-10-01,73,25
2019-10-02,67,25
2019-10-03,68,27
2019-10-04,63,25
2019-10-05,64,24
2019-10-06,86,32
2019-10-07,100,36
2019-10-08,84,31
2019-10-09,98,38
2019-10-10,98,36
2019-10-11,75,28
2019-10-12,70,26
2019-10-13,86,33
2019-10-14,90,33
2019-10-15,89,32
2019-10-16,84,29
2019-10-17,78,27
2019-10-18,69,23
2019-10-19,63,21
2019-10-20,81,29
2019-10-21,93,29
2019-10-22,79,27
2019-10-23,72,24
2019-10-24,66,23
2019-10-25,57,19
2019-10-26,61,21
2019-10-27,84,29
2019-10-28,94,31
2019-10-29,84,27
2019-10-30,79,25
2019-10-31,70,24
2019-11-01,62,21
2019-11-02,67,23
2019-11-03,81,28
2019-11-04,83,27
2019-11-05,85,27
2019-11-06,78,25
2019-11-07,75,26
2019-11-08,69,22
2019-11-09,68,23
2019-11-10,84,29
2019-11-11,88,29
2019-11-12,86,29
2019-11-13,95,28
2019-11-14,83,26
2019-11-15,70,23
2019-11-16,62,20
2019-11-17,86,28
2019-11-18,87,30
2019-11-19,85,28
2019-11-20,79,25
2019-11-21,73,23
2019-11-22,59,18
2019-11-23,55,19
2019-11-24,72,24
2019-11-25,77,25
2019-11-26,71,24
2019-11-27,72,23
2019-11-28,68,22
2019-11-29,55,18
2019-11-30,55,19
2019-12-01,79,28
2019-12-02,83,27
2019-12-03,77,26
2019-12-04,72,24
2019-12-05,73,22
2019-12-06,66,20
2019-12-07,61,21
2019-12-08,77,27
2019-12-09,78,27
2019-12-10,69,22
2019-12-11,66,22
2019-12-12,62,22
2019-12-13,56,18
2019-12-14,54,18
2019-12-15,69,23
2019-12-16,67,23
2019-12-17,64,21
2019-12-18,57,19
2019-12-19,53,17
2019-12-20,47,15
2019-12-21,46,14
2019-12-22,57,20
2019-12-23,55,19
2019-12-24,41,14
2019-12-25,48,17
2019-12-26,54,17
2019-12-27,48,16
2019-12-28,49,17
2019-12-29,57,21
2019-12-30,53,19
2019-12-31,42,15
2020-01-01,54,18
