날짜,침구단품,침구세트
2019-01-01,61,25
2019-01-02,69,29
2019-01-03,62,23
2019-01-04,56,23
2019-01-05,54,23
2019-01-06,65,27
2019-01-07,70,27
2019-01-08,63,24
2019-01-09,60,23
2019-01-10,52,21
2019-01-11,41,16
2019-01-12,37,16
2019-01-13,50,20
2019-01-14,50,19
2019-01-15,47,18
2019-01-16,48,18
2019-01-17,44,17
2019-01-18,39,16
2019-01-19,41,15
2019-01-20,50,20
2019-01-21,52,21
2019-01-22,51,20
2019-01-23,47,19
2019-01-24,42,17
2019-01-25,38,15
2019-01-26,37,16
2019-01-27,51,22
2019-01-28,51,20
2019-01-29,44,17
2019-01-30,40,16
2019-01-31,33,13
2019-02-01,30,12
2019-02-02,31,14
2019-02-03,35,16
2019-02-04,32,16
2019-02-05,32,15
2019-02-06,46,21
2019-02-07,55,24
2019-02-08,49,20
2019-02-09,49,20
2019-02-10,61,27
2019-02-11,58,25
2019-02-12,53,22
2019-02-13,50,21
2019-02-14,49,20
2019-02-15,45,19
2019-02-16,44,19
2019-02-17,59,28
2019-02-18,61,26
2019-02-19,56,25
2019-02-20,51,23
2019-02-21,52,24
2019-02-22,44,19
2019-02-23,44,21
2019-02-24,57,27
2019-02-25,57,27
2019-02-26,53,24
2019-02-27,51,23
2019-02-28,44,19
2019-03-01,48,21
2019-03-02,52,23
2019-03-03,59,27
2019-03-04,54,22
2019-03-05,48,19
2019-03-06,48,20
2019-03-07,45,19
2019-03-08,40,17
2019-03-09,40,17
2019-03-10,55,26
2019-03-11,53,24
2019-03-12,46,20
2019-03-13,46,19
2019-03-14,44,18
2019-03-15,37,16
2019-03-16,41,18
2019-03-17,54,26
2019-03-18,57,25
2019-03-19,49,22
2019-03-20,48,21
2019-03-21,44,20
2019-03-22,40,18
2019-03-23,41,19
2019-03-24,49,23
2019-03-25,65,29
2019-03-26,50,22
2019-03-27,47,23
2019-03-28,44,20
2019-03-29,36,17
2019-03-30,40,18
2019-03-31,49,23
2019-04-01,53,24
2019-04-02,48,21
2019-04-03,44,19
2019-04-04,42,18
2019-04-05,36,16
2019-04-06,36,17
2019-04-07,45,22
2019-04-08,50,23
2019-04-09,47,21
2019-04-10,47,20
2019-04-11,42,19
2019-04-12,35,16
2019-04-13,36,18
2019-04-14,48,23
2019-04-15,48,21
2019-04-16,47,20
2019-04-17,42,19
2019-04-18,41,19
2019-04-19,36,17
2019-04-20,36,18
2019-04-21,47,24
2019-04-22,53,26
2019-04-23,52,26
2019-04-24,51,26
2019-04-25,48,24
2019-04-26,39,18
2019-04-27,36,18
2019-04-28,48,23
2019-04-29,51,24
2019-04-30,43,19
2019-05-01,49,22
2019-05-02,46,21
2019-05-03,38,17
2019-05-04,36,17
2019-05-05,41,21
2019-05-06,53,27
2019-05-07,51,25
2019-05-08,45,21
2019-05-09,45,20
2019-05-10,38,18
2019-05-11,39,18
2019-05-12,54,27
2019-05-13,60,29
2019-05-14,56,29
2019-05-15,60,29
2019-05-16,66,33
2019-05-17,58,31
2019-05-18,54,28
2019-05-19,69,35
2019-05-20,72,35
2019-05-21,65,31
2019-05-22,60,29
2019-05-23,54,25
2019-05-24,52,25
2019-05-25,58,28
2019-05-26,77,39
2019-05-27,76,38
2019-05-28,65,32
2019-05-29,62,27
2019-05-30,56,24
2019-05-31,45,19
2019-06-01,50,21
2019-06-02,62,28
2019-06-03,69,30
2019-06-04,66,28
2019-06-05,60,26
2019-06-06,69,30
2019-06-07,61,26
2019-06-08,58,25
2019-06-09,73,33
2019-06-10,69,31
2019-06-11,64,27
2019-06-12,62,26
2019-06-13,58,24
2019-06-14,49,21
2019-06-15,48,21
2019-06-16,64,27
2019-06-17,69,28
2019-06-18,65,26
2019-06-19,61,25
2019-06-20,59,24
2019-06-21,50,20
2019-06-22,49,21
2019-06-23,62,28
2019-06-24,71,31
2019-06-25,68,29
2019-06-26,66,29
2019-06-27,62,26
2019-06-28,55,24
2019-06-29,54,23
2019-06-30,72,32
2019-07-01,79,35
2019-07-02,75,33
2019-07-03,70,28
2019-07-04,64,26
2019-07-05,55,22
2019-07-06,53,22
2019-07-07,67,28
2019-07-08,68,29
2019-07-09,64,27
2019-07-10,62,25
2019-07-11,57,24
2019-07-12,48,19
2019-07-13,51,21
2019-07-14,69,27
2019-07-15,79,28
2019-07-16,69,26
2019-07-17,65,24
2019-07-18,62,22
2019-07-19,53,21
2019-07-20,55,22
2019-07-21,75,29
2019-07-22,78,29
2019-07-23,71,26
2019-07-24,70,25
2019-07-25,63,24
2019-07-26,56,20
2019-07-27,54,20
2019-07-28,65,25
2019-07-29,69,26
2019-07-30,61,23
2019-07-31,59,22
2019-08-01,59,21
2019-08-02,51,18
2019-08-03,51,17
2019-08-04,63,22
2019-08-05,66,22
2019-08-06,63,21
2019-08-07,59,20
2019-08-08,56,19
2019-08-09,48,16
2019-08-10,46,16
2019-08-11,61,21
2019-08-12,62,19
2019-08-13,57,18
2019-08-14,51,16
2019-08-15,55,18
2019-08-16,53,17
2019-08-17,49,16
2019-08-18,60,19
2019-08-19,62,20
2019-08-20,59,19
2019-08-21,55,18
2019-08-22,53,19
2019-08-23,49,16
2019-08-24,49,17
2019-08-25,61,22
2019-08-26,67,23
2019-08-27,65,23
2019-08-28,62,21
2019-08-29,62,22
2019-08-30,53,20
2019-08-31,55,21
2019-09-01,72,28
2019-09-02,74,28
2019-09-03,71,25
2019-09-04,65,24
2019-09-05,62,23
2019-09-06,51,19
2019-09-07,56,20
