일시,평균 상대습도(%),평균 풍속(m/s)
2020-06-01,62.12000000000001,2.602222222222222
2020-06-02,60.124444444444435,1.5533333333333335
2020-06-03,73.56444444444445,1.7244444444444442
2020-06-04,70.89555555555556,2.1133333333333337
2020-06-05,73.08000000000001,1.6555555555555552
2020-06-06,72.92000000000002,1.8177777777777775
2020-06-07,66.82000000000002,1.4999999999999998
2020-06-08,61.72,1.4422222222222227
2020-06-09,59.17333333333334,1.544444444444444
2020-06-10,70.1,1.606666666666667
2020-06-11,81.3666666666667,1.448888888888889
2020-06-12,84.94545454545457,1.2511111111111113
2020-06-13,82.02666666666669,1.4133333333333336
2020-06-14,80.23555555555558,2.3422222222222215
2020-06-15,64.3288888888889,2.126666666666667
2020-06-16,65.08888888888886,1.6533333333333324
2020-06-17,71.65555555555555,1.3977777777777773
2020-06-18,84.1688888888889,1.508888888888888
2020-06-19,75.33333333333334,1.7555555555555555
2020-06-20,76.19555555555557,1.5133333333333334
2020-06-21,73.10444444444445,1.5355555555555558
2020-06-22,69.56,1.3822222222222227
2020-06-23,68.84222222222225,1.5155555555555553
2020-06-24,84.94,2.1599999999999993
2020-06-25,91.34090909090914,1.5644444444444445
2020-06-26,76.6909090909091,2.148888888888889
2020-06-27,76.57333333333334,1.1533333333333338
2020-06-28,76.49111111111111,1.6044444444444441
2020-06-29,87.74888888888889,2.0955555555555554
2020-06-30,85.73777777777778,3.3066666666666675
2020-07-01,80.0977777777778,1.6533333333333338
