일시,평균 상대습도(%),평균 풍속(m/s)
2019-01-01,57.72666666666666,2.5355555555555553
2019-01-02,53.04444444444444,2.0733333333333337
2019-01-03,48.27333333333334,1.6
2019-01-04,53.08666666666666,1.3933333333333333
2019-01-05,48.833333333333336,2.084444444444444
2019-01-06,46.188888888888876,1.5533333333333335
2019-01-07,53.357777777777784,1.7711111111111109
2019-01-08,46.388888888888886,2.8200000000000007
2019-01-09,40.37555555555555,1.575555555555556
2019-01-10,51.248888888888885,1.9599999999999997
2019-01-11,63.17111111111113,1.2688888888888892
2019-01-12,77.27333333333334,1.2711111111111115
2019-01-13,72.84222222222222,1.2733333333333332
2019-01-14,70.60444444444444,1.068888888888889
2019-01-15,61.233333333333356,2.748888888888889
2019-01-16,47.51999999999998,2.493333333333333
2019-01-17,55.4088888888889,2.404545454545454
2019-01-18,55.928888888888885,1.4600000000000004
2019-01-19,62.233333333333356,0.9777777777777776
2019-01-20,48.55333333333333,3.1955555555555537
2019-01-21,53.40000000000001,2.6866666666666665
2019-01-22,58.929545454545455,1.9822222222222219
2019-01-23,53.75,2.3133333333333335
2019-01-24,43.17272727272727,1.511111111111111
2019-01-25,44.3,2.533333333333333
2019-01-26,40.20222222222222,2.7311111111111117
2019-01-27,50.864444444444445,1.824444444444445
2019-01-28,48.17333333333332,3.0266666666666664
2019-01-29,48.386666666666656,1.3088888888888885
2019-01-30,47.76666666666666,1.4911111111111106
2019-01-31,62.61555555555556,2.3466666666666667
2019-02-01,55.924444444444454,2.4888888888888894
2019-02-02,62.94318181818183,1.6133333333333333
2019-02-03,89.07333333333337,2.097727272727273
2019-02-04,42.04888888888889,2.522222222222222
2019-02-05,48.65777777777777,1.268888888888889
2019-02-06,59.91111111111113,1.2800000000000002
2019-02-07,53.29777777777778,3.026666666666667
2019-02-08,39.4511111111111,2.084444444444445
2019-02-09,37.779999999999994,2.9600000000000017
2019-02-10,41.73999999999998,1.7799999999999998
2019-02-11,41.33555555555555,2.673333333333334
2019-02-12,49.81999999999999,1.5511111111111107
2019-02-13,41.164444444444435,2.3177777777777777
2019-02-14,49.857777777777784,1.5111111111111115
2019-02-15,63.168888888888894,1.9488888888888887
2019-02-16,56.28666666666666,2.913333333333334
2019-02-17,48.51333333333333,2.2844444444444445
2019-02-18,48.02888888888889,1.208888888888889
2019-02-19,88.91777777777779,1.5999999999999996
2019-02-20,68.42500000000001,2.2755555555555556
2019-02-21,67.68222222222224,1.34
